Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Manaaki Vaitai,OG,Euless,TX,6'3'',275,71.0,Air Force  ,,,,,2007,Brigham Young,,
Steven Thomas,CB,Chino Hills,CA,5'11'',180,,Alabama,,,,,2007,Brigham Young,,
Jordan Smith,WR,Spanish Fork,UT,6'5'',210,68.0,Arizona,,6,,,2007,Brigham Young,,
Houston Reynolds,OG,Provo,UT,6'1'',260,,Arkansas,,,,,2007,Brigham Young,,
G Pittman,S,Rancho Cucamonga,CA,5'10'',180,71.0,Arkansas State      ,,,,,2007,Brigham Young,,
Jordan Pendleton,WR,South Jordan,UT,6'2'',190,75.0,Army           ,,,,,2007,Brigham Young,,
Gary Nagy,S,Kahuku,HI,6'1'',180,,Auburn           ,,NR,,,2007,Brigham Young,,
Jason Munns,QB,Kennewick,WA,6'6'',225,78.0,Ball State,,32,,,2007,Brigham Young,,
Magnum Mauga,DT,La Mesa,CA,6'1'',265,,Baylor           ,,NR,NR,NR,2007,Brigham Young,,
Marcus Mathews,WR,Beaverton,OR,6'4'',205,75.0,Boise State           ,,,,,2007,Brigham Young,,
Eathyn Manumaleuna,OT,Provo,UT,6'1'',235,,Boston College,,,,,2007,Brigham Young,,
Vaitai Manaaki,OT,Euless,TX,6'3'',299,,Bowling Green           ,,,,,2007,Brigham Young,,
Devin Mahina,TE,Upland,CA,6'6'',220,78.0,Buffalo           ,,18,,,2007,Brigham Young,,
Levi Mack,OT,Thatcher,AZ,6'5'',230,,BYU  ,,,,,2007,Brigham Young,,
Star Lotulelei,DT,South Jordan,UT,6'3'',255,67.0,California,,113, None, None,2007,Brigham Young,,
Aveni Leung-Wai,ILB,El Cajon,CA,6'1'',215,,Central Michigan,,,,,2007,Brigham Young,,
Ryan Kessman,WR,San Jacinto,CA,5'11'',190,67.0,Cincinnati,,,,,2007,Brigham Young,,
Austen Jorgensen,TE,Mount Pleasant,UT,6'4'',210,,Clemson,,,,,2007,Brigham Young,,
Brendon Gaskins,QB,Farmington,NM,6'5'',220,,Colorado,,,,,2007,Brigham Young,,
Kaneakua Friel,TE,Honolulu,HI,6'4'',220,,Colorado State,,,,,2007,Brigham Young,,
Scotty Ebert,WR,Sandy,UT,6'1'',200,71.0,Duke,,,,,2007,Brigham Young,,
J. J. DiLuigi,RB,Canyon Country,CA,5'9'',180,70.0,East Carolina,,70,,,2007,Brigham Young,,
Cade Cooper,QB,Provo,UT,6'3'',200,,Eastern Michigan,,NR,NR,NR,2007,Brigham Young,,
Braden Brown,TE,Salt Lake City,UT,6'6'',235,73.0,Florida,,54,,,2007,Brigham Young,,
Brannon Brooks,CB,Elk Grove,CA,5'9'',165,69.0,Florida Atlantic,,84,,,2007,Brigham Young,,
Tyler Beck,OLB,Murrieta,CA,6'1'',205,,Florida International,,NR,NR,NR,2007,Brigham Young,,
David Angilau,DE,Longmont,CO,6'4'',240,,Florida State,,,,,2007,Brigham Young,,
Famika Anae,OT,Provo,UT,6'6'',270,,Fresno State,,,,,2007,Brigham Young,,
Michael Yeck,OT,Keller,TX,6'7'',255,,75.0,BYU,66,,,2008,Brigham Young, None, None
Masi Tuipolotu,ILB,Oxnard,CA,6'2'',220,,,BYU,,,,2008,Brigham Young, None, None
Shiloah Te'o,S,Kahuku,HI,6'0'',185,,71.0,BYU,,,,2008,Brigham Young,,
Jesse Taufi,OT,Long Beach,CA,6'5'',300,,,BYU,110,,,2008,Brigham Young, None, None
