Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Ino Vitale,ATH,,,6'5'',245,NR,,,NR,NR,NR,2006,Colorado,,
Demetrius Sumler,RB,San Diego,CA,,5'11'',210,Not Listed,Colorado,,,,2006,Colorado,,
Nate Solder,TE,Buena Vista,CO,,6'8'',240,NR,Colorado,NR,,,2006,Colorado,,
James Smith,CB,Colton,CA,,6'2'',190,NR,Colorado,,,,2006,Colorado,,
Michael Sipili,ILB,Sadler,TX,,6'1'',235,NR,Colorado,NR,,,2006,Colorado,,
JasLee Rouson,RB,Princeton,NJ,,5'10'',205,68,Colorado,,,,2006,Colorado,,
Thomas Perez,RB,Compton,CA,,6'1'',220,NR,Colorado,,,,2006,Colorado,,
Justin Nonu,ILB,Oceanside,CA,,6'1'',250,NR,Colorado,,,,2006,Colorado,,
Eric Lawson,DT,Castle Rock,CO,,6'4'',265,59,Colorado,59.0,,,2006,Colorado,,
Sherman Lang,WR,Boca Raton,FL,,5'11'',160,67,Colorado,161,434,NR,2006,Colorado,,
Marquez Herrod,DE,Escondido,CA,,6'3'',220,76,Colorado,48,,,2006,Colorado,,
Cody Hawkins,QB,Boise,ID,,5'11'',175,68,Colorado,NR,NR,NR,2006,Colorado,,
Jonathan Hawkins,CB,Moreno Valley,CA,,5'10'',180,NR,Colorado,,,,2006,Colorado,,
Steve Fendry,TE,Castle Rock,CO,,6'6'',225,57,Colorado,82,,,2006,Colorado,,
Eric Faatagi,OG,Los Angeles,CA,,6'3'',330,NR,Colorado,,,,2006,Colorado,,
Justin Drescher,OC,Southlake,TX,,6'2'',245,NR,Colorado,,,,2006,Colorado,,
Jalil Brown,S,Phoenix,AZ,,6'0'',205,NR,Colorado,, None, None,2006,Colorado,,
Cha'pelle Brown,CB,Hacienda Heights,CA,,5'10'',170,NR,Colorado,36,,,2006,Colorado,,
Jason Brace,DE,Spanaway,WA,,6'5'',240,77,Colorado,,,,2006,Colorado,,
Bill Boyer,OT,Lakewood,CO,,6'5'',290,NR,Colorado,,,,2006,Colorado,,
Quinton Borders,OT,Lexington,KY,,6'5'',286,NR,Colorado,68,NR,NR,2006,Colorado,,
B.J. Beatty,DE,Kahuku,HI,,6'2'',205,74,Colorado,,,,2006,Colorado,,
Ian Assael,OC,Hewlett,NY,,6'2'',310,NR,Colorado,,,,2006,Colorado,,
Anthony Wright,RB,Compton,CA,6'0'',190.0,77.0,,,77,,,2007,Colorado,NR,NR
Nate Vaiomounga,OLB,Corona,CA,6'0'',200.0,,,,,,,2007,Colorado,,
Sione Tau,OT,Honolulu,HI,6'5'',285.0,74.0,,,,,,2007,Colorado,,
Lamont Smith,CB,Pittsburgh,PA,5'9'',160.0,76.0,,,44,,,2007,Colorado, None, None
Josh Smith,WR,Moorpark,CA,6'1'',185.0,,,,,,,2007,Colorado,,
Markques Simas,WR,San Diego,CA,6'1'',180.0,74.0,,,74,,,2007,Colorado,99,
Lagrone Shields,DE,Memphis,TN,6'2'',240.0,73.0,,,,,,2007,Colorado,,
Chris Perri,DT (JC),Oakland,CA,6'4'',265.0,,,,,,,2007,Colorado,,
Anthony Perkins,RB,Northglenn,CO,5'11'',180.0,66.0,,,222,,,2007,Colorado, NR, NR
Conrad Obi,DE,Loganville,GA,6'5'',230.0,79.0,,,11,,,2007,Colorado, NR, NR
Nick Nelson,QB (JC),Rancho Santa Margarita,CA,6'2'',230.0,,,,NR,,,2007,Colorado,,
Ryan Miller,OT,Littleton,CO,6'6'',285.0,81.0,,,6.0,,,2007,Colorado, None, None
Kealaka'i Maiava,OC,Wailuku,HI,6'1'',288.0,69.0,,,140,,,2007,Colorado,,
Brian Lockridge,RB,Mission Viejo,CA,5'10'',185.0,71.0,,,3,,,2007,Colorado,,
Devan Johnson,FB,Pittsburgh,PA,6'1'',228.0,76.0,,,60,,,2007,Colorado, NR, NR
Mike Iltis,OG,Sarasota,FL,6'3'',285.0,73.0,,,,,,2007,Colorado,,
Drew Hudgins,DE (JC),Highland,KS,6'5'',240.0,,,,,,,2007,Colorado, None, None
Jonathan Hawkins,CB (LQ),Perris,CA,5'10'',180.0,,,,,,,2007,Colorado, NR, NR
Josh Hartigan,OLB,Oakland Park,FL,6'1'',195.0,,,,,,,2007,Colorado,,
Eugene Goree,DT,Murfreesboro,TN,6'3'',280.0,69.0,,,,,,2007,Colorado,,
P.T. Gates,RB (JC),San Diego,CA,5'11'',195.0,,,,54,,,2007,Colorado, None, None
Shawn Daniels,OG,Denver,CO,,,,,,47,,,2007,Colorado,,
Kendrick Celestine,WR,Mamou,LA,6'0'',185.0,78.0,,,99,,,2007,Colorado,,
Blake Behrens,OT,Phoenix,AZ,6'3'',265.0,73.0,,,137,,,2007,Colorado,,
Matt Ballenger,QB,Nampa,ID,6'4'',195.0,70.0,,,,,,2007,Colorado, None, None
Matt Bahr,OT,Mission Viejo,CA,6'4'',250.0,75.0,,,NR,,,2007,Colorado, NR, NR
Tyler Ahles,ILB,San Bernardino,CA,6'2'',225.0,,,,125,,,2007,Colorado, None, None
Ethan Adkins,OT,Castle Rock,CO,6'4'',265.0,70.0,,,,,,2007,Colorado,,
Ryan Wallace,TE,Bowling Green,KY,6'4'',217,,74.0,Colorado,,,,2008,Colorado, None, None
Paul Vigo,ATH,New Brunswick,NJ,6'1'',180,,66.0,Colorado,150,,,2008,Colorado,,
Max Tuioti-Mariner,OG,Corona,CA,6'4'',300,,80.0,Colorado,5,,,2008,Colorado, None, None
Rodney Stewart,RB,Columbus,OH,5'7'',170,,,Colorado,,,,2008,Colorado, None, None
Darrell Scott,RB,Moorpark,CA,6'0'',204,,89.0,Colorado,2,,,2008,Colorado,,
Doug Rippy,OLB,Columbus,OH,6'2'',218,,76.0,Colorado,53,,,2008,Colorado, NR, NR
Ray Polk,RB,Phoenix,AZ,6'0'',195,,77.0,Colorado,,,,2008,Colorado, None, None
Will Pericak,ILB,Boulder,CO,6'4'',247,,68.0,Colorado,,,,2008,Colorado, None, None
Shaun Mohler,OLB,Newport Beach,CA,6'3'',225,,,Colorado,,,,2008,Colorado, None, None
Jon Major,ILB,Parker,CO,6'2'',220,,81.0,Colorado,97,,,2008,Colorado,,
Patrick Mahnke,S,Highlands Ranch,CO,6'2'',183,,73.0,Colorado,,,,2008,Colorado, None, None
Lynn Katoa,OLB,Salt Lake City,UT,6'3'',225,,80.0,Colorado,16,,,2008,Colorado,,
Stephen Hicks,CB,Whitehouse,TX,5'10'',175,,,Colorado,,,,2008,Colorado,,
Tyler Hansen,QB,Temecula,CA,6'1'',185,,,Colorado,NR,,,2008,Colorado,,
Bryce Givens,OT,Denver,CO,6'6'',257,,78.0,Colorado,30,,,2008,Colorado, NR, NR
Vince Ewing,S,Carlsbad,CA,6'0'',190,,68.0,Colorado,,,,2008,Colorado, None, None
Ryan Deehan,TE,Poway,CA,6'5'',220,,78.0,Colorado,,,,2008,Colorado, NR, NR
Jameson Davis,K,Eagle,ID,5'11'',195,,,Colorado,NR,,,2008,Colorado,,
Ryan Dannewitz,OT,San Jacinto,CA,6'6'',276,,,Colorado,,,,2008,Colorado,,
Curtis Cunningham,DT,Littleton,CO,6'2'',262,,76.0,Colorado,56,,,2008,Colorado, NR, NR
Chance Blackmon,WR,Tatum,TX,6'2'',180,,74.0,Colorado,123,,,2008,Colorado, NR, NR
Nick Kasa,DE,Broomfield,CO,6'6'',240,,80,Colorado,17,33,,2009,Colorado,,
Edward Nuckols,DT,San Marcos,CA,6'2'',290,,80,Colorado,14,,,2009,Colorado,,
Derrick Webb,OLB,Memphis,TN,6'0'',214,,77,Colorado,58,266,,2009,Colorado,,
Clark Evans,QB,Los Alamitos,CA,6'5'',225,,77,Colorado,31,,,2009,Colorado,,
Parker Orms,S,Wheat Ridge,CO,5'11'',185,,77,Colorado,60,,,2009,Colorado,,
Gus Handler,OT,Barrington,IL,6'4'',275,,77,Colorado,,,,2009,Colorado,,
Jarrod Darden,WR,Keller,TX,6'4'',211,,77,Colorado,78,141,NR,2009,Colorado,,
Jack Harris,OG,Parker,CO,6'6'',265,,75,Colorado,101,214,0,2009,Colorado,,
Terdema Ussery,WR,Dallas,TX,6'3'',182,,75,Colorado,126,,,2009,Colorado,,
Zach Grossnickle,K,Denver,CO,6'3'',175,,74,Colorado,27,,,2009,Colorado,,
Josh Moten,QB,Harbor City,CA,6'0'',177,,73,Colorado,,,,2009,Colorado,,
Liloa Nobriga,OLB,Las Vegas,NV,6'2'',210,,72,Colorado,141,,,2009,Colorado,,
Nate Bonsu,DT,Allen,TX,6'2'',265,,72,Colorado,110,381,,2009,Colorado,,
DaVaughn Thornon,TE,Denver,CO,6'4'',210,,67,Colorado,119,448,,2009,Colorado,,
Nick Hirschman,QB,Los Gatos,CA,6'3'',216,,78.0,Colorado,26,,,2010,Colorado,54,38
Harold Mobley,WR,Corona,CA,6'4'',225,,78.0,Colorado,64,,,2010,Colorado,66,45
Paul Richardson,WR,Gardena,CA,6'1'',180,,78.0,Colorado,67,,,2010,Colorado,,
Donnie Duncan,ATH,Los Angeles,CA,6'0'',173,,78.0,Colorado,52,,,2010,Colorado,76,65
Kaiwi Crabb,OT,Honolulu,HI,6'5'',244,,76.0,Colorado,76,,,2010,Colorado,134, NR
Lowell Williams,OLB,Missouri City,TX,6'0'',188,,76.0,Colorado,,,,2010,Colorado, None, None
Kirk Poston,DE,Houston,TX,6'2'',230,,75.0,Colorado,104,,,2010,Colorado,,
Justin Favors,TE,Trotwood,OH,6'4'',224,,75.0,Colorado,38,,,2010,Colorado,,
Chidera Uzo-Diribe,DE,Corona,CA,6'3'',216,,75.0,Colorado,116,,,2010,Colorado,,
Kyle Slavin,TE,Littleton,CO,6'4'',225,,74.0,Colorado,,,,2010,Colorado,53, None
Tony Jones,RB,Ramsey,NJ,5'8'',175,,74.0,Colorado,126,,,2010,Colorado, None, None
Keenan Canty,WR,New Orleans,LA,5'10'',170,,74.0,Colorado,,,,2010,Colorado, None, None
Jered Bell,CB,Ontario,CA,6'0'',165,,73.0,Colorado,97,,,2010,Colorado,290,186
Justin Castor,K,Arvada,CO,6'4'',175,,72.0,Colorado,43,,,2010,Colorado,,
Daniel Munyer,OG,Sherman Oaks,CA,6'2'',265,,72.0,Colorado,137,,,2010,Colorado,,
Alex Lewis,OG,Phoenix,AZ,6'5'',250,,67.0,Colorado,208,,,2010,Colorado,,
Henley Griffon,TE,Apopka,FL,6'4'',230,,,Colorado,,,,2010,Colorado,,
Trea Jones,RB,Wake Forest,NC,5'10'',190,,,Colorado,,,,2010,Colorado,,
Justin Torres,RB,La Mirada,CA,6'1'',230,,,Colorado,,,,2010,Colorado, None, None
Cordary Clark,ATH,Phenix City,AL,6'2'',220,,,Colorado,,,,2010,Colorado, None, None
Terrel Smith,S,Paterson,NJ,5'10'',185,,,Colorado,,,,2010,Colorado, None, None
Dakota Poole,DE,Vancouver,B.C.,6'6'',260,,,Colorado,NR,,,2010,Colorado,,
Yuri Wright,CB,Ramsey,NJ,6'1'',185,4.0,82,Colorado,40,,,2012,Colorado,8,2
Kenny Crawley,CB,Washington,DC,6'0'',170,18.0,79,Colorado,18,,,2012,Colorado,41,3
Tyler Henington,DT,Denver,CO,6'4'',265,38.0,79,Colorado,38,,,2012,Colorado,93,7
Kisima Jagne,DE,Chandler,AZ,6'5'',235,52.0,78,Colorado,,,,2012,Colorado,70,6
Clay Norgard,DE,Highlands Ranch,CO,6'0'',230,56.0,78,Colorado,56,,,2012,Colorado,101,8
Donta Abron Jr.,RB,Upland,CA,5'9'',190,33.0,78,Colorado,33,,,2012,Colorado,94,65
Justin Solis,DT,Westlake Village,CA,6'3'',285,48.0,78,Colorado,48,,,2012,Colorado,95,66
Austin Ray,TE,Columbia,MO,6'6'',235,29.0,78,Colorado,29,,,2012,Colorado,,
Jeromy Irwin,OG,Cypress,TX,6'5'',288,47.0,78,Colorado,47,,,2012,Colorado,131,100
Shane Dillon,QB,El Cajon,CA,6'6'',190,51.0,77,Colorado,51,,,2012,Colorado,,
Davien Payne,RB,Perris,CA,5'11'',210,48.0,77,Colorado,48,,,2012,Colorado,,
John Walker,CB,Washington,DC,5'11'',175,51.0,77,Colorado,,,,2012,Colorado, None, None
Jeffrey Thomas,WR,Duncanville,TX,6'2'',180,119.0,77,Colorado,119,,,2012,Colorado,,
Gerrad Kough,OT,Pomona,CA,6'5'',270,113.0,76,Colorado,113,,,2012,Colorado,152,99
Peyton Williams,WR,Southlake,TX,6'1'',185,137.0,76,Colorado,137,,,2012,Colorado,219,167
John Stuart,DE,Westlake Village,CA,6'4'',230,144.0,75,Colorado,,,,2012,Colorado,144,116
Gerald Thomas,WR,The Colony,TX,5'10'',170,148.0,75,Colorado,148,,,2012,Colorado,,
Alex Kelley,OC,Oceanside,CA,6'3'',305,,75,Colorado,,,,2012,Colorado, None, None
Sean Irwin,TE,Cypress,TX,6'3'',226,72.0,75,Colorado,,,,2012,Colorado, None, None
Marques Mosley,SUpland,CA,6'1'',174,92,75.0,Colorado,,198,,,2012,Colorado,,
De'Jon Wilson,DE,Washington,DC,6'3'',235,165.0,75,Colorado,3,,,2012,Colorado,208,136
Christian Powell,FB,Upland,CA,6'0'',252,3.0,75,Colorado,123,,,2012,Colorado,221,143
Samson Kafovalu,DT,Riverside,CA,6'3'',255,123.0,74,Colorado,105,,,2012,Colorado,,
Terrence Crowder,RB,Galena Park,TX,5'10'',205,105.0,74,Colorado,100,,,2012,Colorado,,
Vincent Hobbs,TE,Mesquite,TX,6'3'',235,100.0,73,Colorado,201,,,2012,Colorado,,
Jeffrey Hall,ATH,Laplace,LA,5'11'',175,201.0,68,Colorado,393,,,2012,Colorado, None,11
Kory Rasmussen,DT,Honolulu,HI,6'2'',250,196.0,66,Colorado,NR,,,2012,Colorado,,
Josh Tupou,DT,Buena Park,CA,6'4'',300,,,Colorado,,,,2012,Colorado,,
Derek McCartney,DE,Arvada,CO,6'4'',218,,,Colorado,,,,2012,Colorado,,
Efo Liufau,QB-DT,Tacoma,WA,6'3'',220,80,Colorado,,,,,2013,Colorado, None, None
Devin E. Ross,CB,Mission Hills,CA,5'9'',168,77,Colorado,,52,,,2013,Colorado,108,74
Jonathan Huckins,OG,The Woodlands,TX,6'3'',306,77,Colorado,,42,,,2013,Colorado,133,105
Bryce Bobo,WR,Covina,CA,6'2'',175,76,Colorado,,114,,,2013,Colorado,134,96
Gunnar Graham,OT,Kentfield,CA,6'5'',271,76,Colorado,,145,,,2013,Colorado,78,105
Jimmie Gilbert,OLB,College Station,TX,6'5'',201,76,Colorado,,,,,2013,Colorado, None, None
Phillip Lindsay,RB,Denver,CO,5'9'',170,75,Colorado,,94,,,2013,Colorado,,
Tedric Thompson,S,Valencia,CA,6'1'',205,75,Colorado,,60,,,2013,Colorado,173,119
Chidobe Awuzie,CB,San Jose,CA,5'11'',178,74,Colorado,,,,,2013,Colorado, None, None
Sam Kronshage,OT,The Woodlands,TX,6'6'',278,74,Colorado,,101,,,2013,Colorado,222,171
Elijah Dunston,WR,West Hills,CA,6'0'',180,74,Colorado,,163,,,2013,Colorado,198,133
Jeff Thomas,WR,Duncanville,TX,6'3'',195,74,Colorado,,,,,2013,Colorado,,
Markeis Reed,DE,Napa,CA,6'4'',225,73,Colorado,,104,,,2013,Colorado,219,147
Gerrad Kough,OT,Pomona,CA,6'5'',295,73,Colorado,,,,,2013,Colorado,,
Colin Sutton,OG,Orange,CA,6'5'',285,72,Colorado,,,,,2013,Colorado, None, None
George Frazier,ATH,Monrovia,CA,6'2'',225,72,Colorado,,155,,,2013,Colorado,245,166
John Lisella,OG,Littleton,CO,6'3'',245,70,Colorado,,109,,,2013,Colorado,308,13
Ryan Severson,RB,San Jose,CA,5'11'',186,70,Colorado,,138,,,2013,Colorado,277,181
Timothy Coleman,DE,Denver,CO,6'3'',245,70,Colorado,,120,,,2013,Colorado,313,14
Michael Adkins,RB,La Mesa,CA,5'10'',186,0,Colorado,,,,,2013,Colorado,,
Kenneth Olugbode,LB,San Jose,CA,6'0'',196,0,Colorado,,,,,2013,Colorado, None, None
Addison Gillam,OLB,Santa Ana,CA,6'3'',220,0,Colorado,,,,,2013,Colorado,,
Derek McCartney,DE,Arvada,CO,6'4'',240,0,Colorado,,,,,2013,Colorado, None, None
Isaiah Holland,OT,Highlands Ranch,CO,6'4'',305,,78.0,Colorado,43,,,2014,Colorado,127,7
Jaisen Sanchez,S,Honolulu,HI,6'0'',190,,77.0,Colorado,,,,2014,Colorado, None, None
Grant Watanabe,OLB,San Antonio,TX,5'10'',225,,77.0,Colorado,159,,,2014,Colorado,69,117
Sam Bennion,DE,Logan,UT,6'5'',250,,77.0,Colorado,67,,,2014,Colorado,,
Evan White,S,Aurora,CO,6'2'',192,,77.0,Colorado,,,,2014,Colorado, None, None
Josh Kaiser,OT,Mission Viejo,CA,6'5'',265,,77.0,Colorado,77,,,2014,Colorado,121,75
Lawrence Walker,WR (LQ),San Diego,CA,6'0'',166,,76.0,Colorado,,,,2014,Colorado, None, None
Shay Fields Jr.,WR,Bellflower,CA,5'11'',160,,76.0,Colorado,134,,,2014,Colorado,136,87
Eddy Lopez,DT,El Paso,TX,6'2'',290,,76.0,Colorado,,,,2014,Colorado,200,149
Jase Franke,DE,Ventura,CA,6'3'',246,,75.0,Colorado,88,,,2014,Colorado,,
Rick Gamboa,ILB,West Hills,CA,6'0'',220,,75.0,Colorado,39,,,2014,Colorado,166,106
Michael Mathewes,DE,Mission Viejo,CA,6'4'',235,,74.0,Colorado,,,,2014,Colorado, None, None
Dylan Keeney,OLB,Granite Bay,CA,6'6'',210,,74.0,Colorado,112,,,2014,Colorado,183,115
Ahkello Witherspoon,CB (JC),Sacramento,CA,6'2'',180,,74.0,Colorado,18,,,2014,Colorado, NR, NR
Cade Apsay,QB-PP,Canyon Country,CA,6'1'',188,,74.0,Colorado,51,,,2014,Colorado,196,123
Isaac Miller,OT,Longmont,CO,6'7'',255,,74.0,Colorado,119,,,2014,Colorado,277,10
Terran Hasselbach,DE,Aurora,CO,6'2'',240,,73.0,Colorado,125,,,2014,Colorado,289,12
Christian Shaver,DE,Sandy,UT,6'3'',225,,73.0,Colorado,137,,,2014,Colorado,,
Donovan Lee,CB,West Hills,CA,5'8'',162,,71.0,Colorado,106,,,2014,Colorado,,
John Lisella II,OG (LQ),Littleton,CO,6'4'',270,,70.0,Colorado,,,,2014,Colorado,,
Hayden Jones,TE-Y,Sacramento,CA,6'6'',245,,70.0,Colorado,49,,,2014,Colorado,,
Wyatt Smith,LS (JC),Gulfport,MS,6'2'',230,,67.0,Colorado,1,,,2014,Colorado,,
Jay MacIntyre,ATH,Boulder,CO,5'10'',185,,,Colorado,NR,,,2014,Colorado,,
Sully Wiefels,OG (JC),Sacramento,CA,6'4'',300,,,Colorado,,,,2014,Colorado,,
Jake Moretti,OT,Arvada,CO,6'5'',288,82.0,Colorado,,16,,,2017,Colorado,31,2
Grant Polley,OG,Denton,TX,6'4'',270,81.0,Colorado,,20,,,2017,Colorado,,
Jon Van Diest,OLB,Englewood,CO,6'1'',234,81.0,Colorado,,16,,,2017,Colorado,45,3
Javier Edwards,DT,Houston,TX,6'3'',345,80.0,Colorado,,3,,,2017,Colorado,,
Tyler Lytle,QB,Anaheim,CA,6'5'',199,80.0,Colorado,,14,,,2017,Colorado,,
K.D. Nixon,WR,DeSoto,TX,5'7'',190,80.0,Colorado,,45,,,2017,Colorado,,
Maurice Bell,WR,Murrieta,CA,5'11'',171,80.0,Colorado,,,,,2017,Colorado, None, None
Jacob Callier,DE,Bellflower,CA,6'2'',249,78.0,Colorado,,56,,,2017,Colorado,,
Casey Roddick,OG,Ventura,CA,6'4'',355,78.0,Colorado,,42,,,2017,Colorado,92,53
Terrance Lang,DT,Pasadena,CA,6'6'',270,78.0,Colorado,,48,,,2017,Colorado,94,55
Laviska Shenault Jr.,WR,DeSoto,TX,6'1'',203,78.0,Colorado,,102,,,2017,Colorado,,
Chris Miller,CB,Denton,TX,5'11'',173,78.0,Colorado,,94,,,2017,Colorado,,
Shamar Hamilton,DE,Lantana,FL,6'3'',235,78.0,Colorado,,,,,2017,Colorado,,
Dante Sparaco,DE,Bradenton,FL,6'4'',257,78.0,Colorado,,65,,,2017,Colorado,,
Will Sherman,OG,Allen,TX,6'3'',294,77.0,Colorado,,52,,,2017,Colorado,,
Jaylon Jackson,WR,Cedar Hill,TX,5'10'',171,77.0,Colorado,,142,,,2017,Colorado,140,113
Sebastian Olver,TE,San Diego,CA,6'4'',245,76.0,Colorado,,24,,,2017,Colorado,133,80
Chris Mulumba,DE,Pleasant Hill,CA,6'3'',270,76.0,Colorado,,,,,2017,Colorado,,
Alex Fontenot,RB,Richmond,TX,6'0'',185,76.0,Colorado,,71,,,2017,Colorado,,
Jared Poplawski,TE,Scottsdale,AZ,6'4'',220,75.0,Colorado,,29,,,2017,Colorado,157,17
Nate Landman,OLB,Danville,CA,6'3'',205,75.0,Colorado,,66,,,2017,Colorado,,
Dante Wigley,CB,Carrollton,GA,6'1'',185,74.0,Colorado,,16,,,2017,Colorado, None, None
Heston Paige,OG,Highlands Ranch,CO,6'4'',255,73.0,Colorado,,93,,,2017,Colorado,,
Chase Newman,OLB,La Mirada,CA,6'2'',210,73.0,Colorado,,87,,,2017,Colorado,,
Kevin George,CB,Carencro,LA,6'2'',180,73.0,Colorado,,18,,,2017,Colorado, None, None
Isaiah Lewis,S,Granite Bay,CA,6'0'',197,71.0,Colorado,,115,,,2017,Colorado,,
Carson Wells,DE,Bushnell,FL,6'3'',226,68.0,Colorado,,145,,,2017,Colorado,,
Jalen Sami,DT,Colorado Springs,CO,6'4'',330,,Colorado,,NR,,,2017,Colorado, NR, NR
Jashua Allen,OLB,Portland,OR,6'1'',225,82.0,,Colorado,1,,,2019,Colorado,,
Braedin Huffman-Dixon,WR,Santa Ana,CA,6'2'',180,80.0,,Colorado,,,,2019,Colorado,,
Jaren Mangham,ATH,Detroit,MI,6'2'',214,80.0,,Colorado,37,32,9,2019,Colorado,,
La'Vontae Shenault,WR,DeSoto,TX,6'1'',185,78.0,,Colorado,91,,,2019,Colorado,,
Tarik Luckett,WR,San Juan Capistrano,CA,6'2'',185,78.0,,Colorado,36,138,5,2019,Colorado,,
Austin Johnson,OG,Highlands Ranch,CO,6'4'',260,78.0,,Colorado,,,,2019,Colorado,,
Marvin Ham,OLB,Belleville,MI,6'1'',217,78.0,,Colorado,48,,,2019,Colorado,,
Mark Perry,S,Rancho Cucamonga,CA,6'0'',192,77.0,,Colorado,84,5,2,2019,Colorado,,
Valentin Senn,OT,Austria,EUR,6'6'',280,77.0,,Colorado,77,,,2019,Colorado,,
D.J. Oats,ATH,Arlington,TX,5'10'',180,77.0,,Colorado,78,,,2019,Colorado,,
Alec Pell,OLB,Englewood,CO,6'4'',225,77.0,,Colorado,199,,,2019,Colorado,,
Lloyd Murray Jr.,DT,Witchita Falls,TX,6'1'',320,76.0,,Colorado,55,204,9,2019,Colorado,,
Jake Wiley,OG,Aurora,CO,6'5'',260,76.0,,Colorado,158,,,2019,Colorado,,
K.J. Trujillo,CB,Orange,CA,6'0'',160,76.0,,Colorado,115,183,115,2019,Colorado,,
Nikko Pohahau,OT,La Canada,CA,6'4'',253,75.0,,Colorado,17,,,2019,Colorado,,
Janaz Jordan,DT,Hampton,VA,6'3'',305,75.0,,Colorado,147,,,2019,Colorado,,
Joshia Davis,WR,Highlands Ranch,CO,5'10'',180,75.0,,Colorado,127,,,2019,Colorado,,
Austin Williams,DT,Tifton,GA,6'3'',303,74.0,,Colorado,97,214,11,2019,Colorado,,
Na'im Rodman,DT,Bellflower,CA,6'2'',297,74.0,,Colorado,5,,,2019,Colorado,,
Jayden Simon,DT,Tacoma,WA,6'3'',308,74.0,,Colorado,6,NR,NR,2019,Colorado,,
Quinn Perry,ILB,Pacific Palisades,CA,6'1'',239,73.0,,Colorado,160,,,2019,Colorado,,
Va'atofu Sauvao,OG,Fagatogo,AS,6'3'',320,73.0,,Colorado,NR,,,2019,Colorado,,
Jamar Montgomery,ILB,Independence,KS,6'3'',225,73.0,,Colorado,,,,2019,Colorado,,
Trustin Oliver,ATH,Parker,CO,6'3'',195,72.0,,Colorado,,,,2019,Colorado,,
Jeremiah Doss,DE,Flowood,MS,6'5'',250,72.0,,Colorado,,,,2019,Colorado,,
Jalen Harris,TE-Y,Montgomery,AL,6'5'',255,,,Colorado,,,,2019,Colorado,,
TE,Y,Heritage High School,Littleton,CO,6'5'',230,78,Colorado,,,,2021,Colorado,,
K,Rocklin High School,Rocklin,CA,6'4'',215,77,Colorado,,,,,2021,Colorado,,
DT,Jacksonville High School,Jacksonville,AR,6'3'',320,77,Colorado,,,,,2021,Colorado,,
DT,Saint Thomas Aquinas High School,Fort Lauderdale,FL,6'2'',250,76,Colorado,,,,,2021,Colorado,,
S (JC),Iowa Western Community College,Parker,CO,6'4'',215,75,Colorado,,,,,2021,Colorado,,
ILB,Liberty High School,Henderson,NV,6'1'',230,75,Colorado,,,,,2021,Colorado,,
OG,Mineola High School,Mineola,TX,6'4'',290,75,Colorado,,,,,2021,Colorado,,
S,James E. Taylor High School,Katy,TX,6'1'',190,75,Colorado,,,,,2021,Colorado,,
OG,Russellville High School,Russellville,AL,6'3'',300,74,Colorado,,,,,2021,Colorado,,
