Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Stars,School
Leon Wright,CB,Saint Petersburg,FL,5'9'',165,67,Duke,5,434, NR,2006,Duke,,,,
Vincent Rey,ILB, Bayside, NY, NR,6'1'',255,Duke,, None, None,2006,Duke,,,,
Johnny Williams,WR,Leroy,AL,5'11'',190,NR,Duke,, None, None,2008,Duke,,,,
Donovan Varner,ATH,Miami,FL,5'9'',173,80,Duke,21,85, None,2008,Duke,,,,
Sean Renfree,QB,Scottsdale,AZ,6'3'',201,76,Duke,43,,,2008,Duke,,,,
Brian Moore,OG,Coconut Grove,FL,6'3'',275,75,Duke,46,337,,2008,Duke,,,,
Trent Mackey,ILB,Lafayette,LA,5'9'',191,67,Duke,600,,,2008,Duke,,,,
Patrick Kurunwune,RB,Austin,TX,5'10'',200,65,Duke,, None, None,2008,Duke,,,,
Randez James,CB,San Antonio,TX,5'11'',185,75,Duke,,,,2008,Duke,,,,
Conor Irwin,OT,Knoxville,TN,6'5'',245,NR,Duke,,,,2008,Duke,,,,
Jay Hollingsworth,RB,Lee County,NC,5'11'',180,77,Duke,77, None, None,2008,Duke,,,,
Curtis Hazelton,DE,Roswell,GA,6'2'',232,72,Duke,118,495, None,2008,Duke,,,,
Tony Foster,WR,Burlington,NC,6'2'',165,NR,Duke,, None, None,2008,Duke,,,,
Matt Daniels,S,Fayetteville,GA,6'0'',183,78,Duke,27,173, None,2008,Duke,,,,
Jordan Byas,ATH,Panama City,FL,6'2'',185,NR,Duke,,,,2008,Duke,,,,
Lee Butler,S,Anderson,SC,5'10'',168,73,Duke,71,438,32,2008,Duke,,,,
Paul Asack,K,Westford,MA,6'2'',200,77,Duke,11, NR, NR,2008,Duke,,,,
Kenny Anunike,TE,Lewis Center,OH,6'5'',220,NR,Duke,, None, None,2008,Duke,,,,
Jackson Anderson,TE,Frisco,TX,6'4'',230,NR,Duke,NR, NR, NR,2008,Duke,,,,
Anthony Boone,QB,Charlotte,NC,6'1'',229,78.0,Duke,37,,,2010,Duke,,,,
Josh Snead,ATH,Smithfield,NC,5'9'',173,77.0,Duke,,,,2010,Duke,,,,
Juwan Thompson,RB,College Park,GA,5'11'',208,77.0,Duke,65,,,2010,Duke,,,,
Brandon Braxton,WR,Charlotte,NC,6'2'',190,76.0,Duke,,,,2010,Duke,,,,
Brandon Connette,QB,Corona,CA,6'3'',198,76.0,Duke,61,,,2010,Duke,130,91,,
Kelby Brown,OLB,Charlotte,NC,6'2'',210,75.0,Duke,,,,2010,Duke,,,,
Clerance France,OLB,Columbus,GA,6'1'',210,75.0,Duke,,,,2010,Duke,91,,,
Laken Tomlinson,OG,Chicago,IL,6'3'',285,75.0,Duke,,,,2010,Duke,,,,
Quan Stevenson,S,High Point,NC,6'0'',195,74.0,Duke,,,,2010,Duke,115,,,
Jamal Wallace,DE,Charlotte,NC,6'4'',209,74.0,Duke,142,,,2010,Duke,,,,
Jamal Bruce,DE,Hogansville,GA,6'1'',220,74.0,Duke,144,,,2010,Duke,,,,
