Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Cameron Wade,WR,Cairo,GA,6'4'',180,76,Florida State,,65, NR, NR,2007,Florida State,,
Kendall Smith,ILB,Bushnell,FL,6'1'',205,79,Florida State,,9,,,2007,Florida State,,
Bert Reed,QB,Panama City,FL,5'11'',170,79,Florida State,,16,,,2007,Florida State,,
Shawn Powell,K,Rome,GA,6'5'',215,NR,Florida State,,,,,2007,Florida State,,
Brandon Paul,WR,Tallahassee,FL,5'10'',185,80,Florida State,,,,,2007,Florida State,,
Jamar Jackson,OLB,Richmond,VA,6'4'',225,74,Florida State,,43, NR, NR,2007,Florida State,,
Rodney Hudson,OG,Mobile,AL,6'3'',285,77,Florida State,,77,,,2007,Florida State,,
Zach Hillery,OG,POST,Winter Springs,FL,6'4'',315,NR,Florida State,,,,2007,Florida State,,
Maurice Harris,OLB,Homestead,FL,6'0'',202,77,Florida State,,20,NR,NR,2007,Florida State,,
Jonathan Hannah,TE,JC,Hope Mills,NC,6'4'',260,NR,Florida State,,,,2007,Florida State,,
Anthony Grosso,OT,Matawan,NJ,6'6'',275,NR,Florida State,,,,,2007,Florida State,,
Aaron Gresham,ILB,Mayo,FL,6'2'',220,74,Florida State,,34,NR,NR,2007,Florida State,,
Antwane Greenlee,OT,Columbus,GA,6'6'',300,78,Florida State,,78,,,2007,Florida State,,
A. J. Ganguzza,OG,Boca Raton,FL,6'2'',262,69,Florida State,,,,,2007,Florida State,,
Will Furlong,OT,DeLand,FL,6'5'',275,77,Florida State,,42,,,2007,Florida State,,
Dan Foster,ILB,JC,Blakely,GA,6'1'',225,NR,Florida State,,,,2007,Florida State,,
Taiwan Easterling,WR,Magee,MS,6'0'',190,NR,Florida State,,,,,2007,Florida State,,
Brian Coulter,DE,JC,Poplarville,MS,6'5'',255,NR,Florida State,,,,2007,Florida State,,
Bernard Brinson,S,Greenville,FL,5'10'',185,NR,Florida State,,,,,2007,Florida State,,
Dionte Allen,CB,Orchard Lake,MI,6'0'',175,81,Florida State,,,,,2007,Florida State,,
Vincent Williams,OLB,Davenport,FL,6'0'',210,78,Florida State,,40,194,NR,2008,Florida State,,
Markus White,DE,Lake Worth,FL,6'4'',245,NR,Florida State,,,,,2008,Florida State,,
Jermaine Thomas,ATH,Jacksonville,FL,6'1'',190,83,Florida State,,3,,,2008,Florida State,,
Corey Surrency,WR,Miami,FL,6'4'',205,NR,Florida State,,,,,2008,Florida State,,
Toshmon Stevens,DE,Crescent City,FL,6'5'',198,76,Florida State,,301,,,2008,Florida State,,
David Spurlock,OG,Murfreesboro,TN,6'4'',280,78,Florida State,,26,202,,2008,Florida State,,
Blake Snider,OG,Heflin,AL,6'4'',280,NR,Florida State,,NR,NR,NR,2008,Florida State,,
Debrale Smiley,RB,Thomasville,GA,5'11'',225,NR,Florida State,,NR,,,2008,Florida State,,
Rhonne Sanderson,OT,Tampa,FL,6'3'',280,75,Florida State,,64,,,2008,Florida State,,
Zebrie Sanders,OT,Clayton,OH,6'5'',273,79,Florida State,,18,NR,NR,2008,Florida State,,
Bo Reliford,TE,Hollywood,FL,6'8'',242,NR,Florida State,,,,,2008,Florida State,,
Tavares Pressley,RB,Arcadia,FL,6'1'',215,NR,Florida State,,,,,2008,Florida State,,
Terrance Parks,CB,Fairburn,GA,6'1'',200,83,Florida State,,36th,,,2008,Florida State,,
Nick Moody,OLB,Philadelphia,PA,6'1'',218,77,Florida State,,46.0,,,2008,Florida State,,
Moses McCray,DT,Tampa,FL,6'2'',270,78,Florida State,,27,,,2008,Florida State,,
Anthony McCloud,DT,Thomasville,GA,6'2'',268,NR,Florida State,,,,,2008,Florida State,,
E.J. Manuel,QB,Virginia Beach,VA,6'5'',210,82,Florida State,,6,,,2008,Florida State,,
Ja'Baris Little,TE,Tallahassee,FL,6'4'',220,75,Florida State,,, None, None,2008,Florida State,,
Carlton Jones,RB,Tampa,FL,5'11'',215,NR,Florida State,,,,,2008,Florida State,,
Ed Imeokparia,RB,Newark,DE,6'0'',188,76,Florida State,,35,,,2008,Florida State,,
Anthony Hill,DT,Pensacola,FL,6'4'',301,77,Florida State,,149,,,2008,Florida State,,
Josh Gehres,WR,Tallahassee,FL,6'3'',190,73,Florida State,,42,110,NR,2008,Florida State,,
Jarmon Fortson,WR,Columbus,GA,6'3'',218,79,Florida State,,57,,,2008,Florida State,,
Garrett Faircloth,OT,Jacksonville,FL,6'6'',260,76,Florida State,,20,,,2008,Florida State,,
Everett Dawkins,DE,Duncan,SC,6'2'',242,79,Florida State,,50,,,2008,Florida State,,
Andrew Datko,OT,Fort Lauderdale,FL,6'5'',275,77,Florida State,,74,,,2008,Florida State,,
Avis Commack,WR,Jacksonville,FL,6'4'',182,77,Florida State,,4,,,2008,Florida State,,
Nigel Carr,OLB,Jacksonville,FL,6'3'',222,82,Florida State,,4,,,2008,Florida State,,
Nigel Bradham,ILB,Crawfordville,FL,6'2'',230,82,Florida State,,43,307,NR,2008,Florida State,,
Travis Arnold,S,Madison,FL,5'10'',184,76,Florida State,,41,,,2008,Florida State,,
A.J. Alexander,ATH,Altoona,PA,5'11'',175,78,Florida State,,,,,2008,Florida State,,
Karlos Williams,SDavenport,FL,6'2'',210,5,86,Florida State,,1,4,,2011,Florida State,,
Tim Jernigan,DTLake City,FL,6'2'',275,4,84,Florida State,,2,11,,2011,Florida State,,
Nick O'Leary,TEPalm Beach Gardens,FL,6'4'',230,4,83,Florida State,,4,,,2011,Florida State,,
Bobby Hart,OTFort Lauderdale,FL,6'5'',298,4,83,Florida State,,3,19,,2011,Florida State,,
Giorgio Newberry,ATHFort Pierce,FL,6'5'',249,3,82,Florida State,,4,,,2011,Florida State,,
James Wilder Jr.,ATHTampa Bay,FL,6'2'',219,4,82,Florida State,,5,,,2011,Florida State,,
Keelin Smith,SPort Saint Lucie,FL,6'3'',185,5,81,Florida State,,2,,,2011,Florida State,,
Nick Waisome,CBGroveland,FL,5'10'',168,2,81,Florida State,,116,,,2011,Florida State,,
Tyler Hunter,SValdosta,GA,6'0'',197,1,81,Florida State,,20,63,,2011,Florida State,,
Rashad Greene,WRFort Lauderdale,FL,6'0'',170,2,80,Florida State,,10,67,NR,2011,Florida State,,
Jordan Prestwood,OTPlant City,FL,6'6'',265,1,80,Florida State,,13,76,,2011,Florida State,,
Nile Lawrence-Stample,DTDavie,FL,6'1'',297,1,80,Florida State,,23,,,2011,Florida State,,
Kelvin Benjamin,WRBelle Glade,FL,6'5'',210,2,80,Florida State,,15,,,2011,Florida State,,
Devonta Freeman,RBMiami,FL,5'8'',195,1,80,Florida State,,14,,,2011,Florida State,,
Lamarcus Brutus,SPort Saint Lucie,FL,5'11'',185,2,80,Florida State,,9,99,NR,2011,Florida State,,
Arrington Jenkins,OLBMiami,FL,6'2'',225,1,80,Florida State,,18,115,NR,2011,Florida State,,
Derrick Mitchell,DTJacksonville,FL,6'4'',285,1,79,Florida State,,13,,,2011,Florida State,,
Josue Matias,OTUnion City,NJ,6'5'',290,1,79,Florida State,,26,,,2011,Florida State,,
Terrance Smith,OLBDecatur,GA,6'3'',215,2,79,Florida State,,30,174,NR,2011,Florida State,,
