Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Barry Wilson,WR,Tulare,CA,6'3'',170,NR,Fresno State,,,,2006,Fresno State,,,,
Kenny Wiggins,OT,Elk Grove,CA,6'7'',260,NR,Fresno State,,,,2006,Fresno State,,,,
Taylor Smith,DE,Clovis,CA,6'3'',230,NR,Fresno State,,,,2006,Fresno State,,,,
Will Smith,OLB,Fresno,CA,6'1'',205,NR,Fresno State,NR,,,2006,Fresno State,,,,
Robert Schenck,OLB,San Marcos,CA,6'2'',205,NR,Fresno State,,,,2006,Fresno State,,,,
Mark Roberts,DT,Modesto,CA,6'2'',275,NR,Fresno State,NR,NR,NR,2006,Fresno State,,,,
Charley Robbins,OG,Fresno,CA,6'2'',270,NR,Fresno State,,,,2006,Fresno State,,,,
Damion Owens,CB,San Leandro,CA,5'11'',185,NR,Fresno State,, None, None,2006,Fresno State,,,,
Lonyae Miller,RB,Fontana,CA,5'11'',200,72,Fresno State,101,NR,NR,2006,Fresno State,,,,
Nico Herron,OLB,San Leandro,CA,6'3'',240,NR,Fresno State,,,,2006,Fresno State,,,,
Jamel Hamler,WR,San Leandro,CA,6'1'',190,NR,Fresno State,,,,2006,Fresno State,,,,
Lorne Bell,CB,Simi Valley,CA,5'10'',195,NR,Fresno State,,,,2006,Fresno State,,,,
Devon Wylie,WR,Granite Bay,CA,5'9'',175,NR,Fresno State,,,,2007,Fresno State,,,,
Phillip Thomas,S,Bakersfield,CA,6'1'',180,NR,Fresno State,,,,2007,Fresno State,,,,
Jermaine Thomas,CB,Duarte,CA,5'11'',170,NR,Fresno State,,,,2007,Fresno State,,,,
J.J. Stallworth,S,Sacramento,CA,5'11'',185,NR,Fresno State,NR,NR,NR,2007,Fresno State,,,,
Eric Sproal,OG,Palencia,CA,6'3'',260,NR,Fresno State,NR,NR,NR,2007,Fresno State,,,,
Ryan Skidmore,TE,Bakersfield,CA,6'5'',225,NR,Fresno State,,,,2007,Fresno State,,,,
Austin Raphael,ILB,Sonora,CA,6'2'',230,62,Fresno State,62.0,,,2007,Fresno State,,,,
Kyle Rainer,OT,Moorpark,CA,6'5'',265,NR,Fresno State,,,,2007,Fresno State,,,,
Ryan Mathews,S,Bakersfield,CA,5'11'',190,67,Fresno State,110,,,2007,Fresno State,,,,
Matt Lindsey,WR,Clovis,CA,6'2'',165,NR,Fresno State,,,,2007,Fresno State,,,,
Steven Lightsy,OG (JC),Fresno,CA,6'4'',320,NR,Fresno State,,,,2007,Fresno State,,,,
Tim Lang,ATH,Sacramento,CA,5'11'',185,NR,Fresno State,,,,2007,Fresno State,,,,
Bryson Hodges,RB,Bakersfield,CA,5'9'',200,NR,Fresno State,NR,NR,NR,2007,Fresno State,,,,
Porter Hill,DT,Compton,CA,6'4'',280,70,Fresno State,NR,,,2007,Fresno State,,,,
Zak Hill,CB,Fresno,CA,6'2'',190,NR,Fresno State,NR,NR,NR,2007,Fresno State,,,,
Bryce Harris,OT,Tulare,CA,6'6'',240,NR,Fresno State,,,,2007,Fresno State,,,,
Isaiah Green,CB,Long Beach,CA,5'10'',180,NR,Fresno State,NR,,,2007,Fresno State,,,,
Kevin Goessling,K,Placentia,CA,5'10'',170,NR,Fresno State,NR,NR,NR,2007,Fresno State,,,,
Alex Germany,S,Palm Desert,CA,5'9'',NR,Fresno State,,,,,2007,Fresno State,,,,
Matt Faulkner,QB,Flower Mound,TX,6'3'',185,NR,Fresno State,NR,,,2007,Fresno State,,,,
Terrance Dennis,CB,Pomona,CA,5'10'',175,NR,Fresno State,NR,,,2007,Fresno State,,,,
Sharrod Davis,CB (JC),Spring Valley,CA,6'0'',185,NR,Fresno State,,,,2007,Fresno State,,,,
Devan Cunningham,OT,Sacramento,CA,6'7'',305,74,Fresno State,,,,2007,Fresno State,,,,
Leslie Cooper,OT,Compton,CA,6'4'',260,NR,Fresno State,NR,,,2007,Fresno State,,,,
Chris Carter,OLB,Fontana,CA,6'2'',210,NR,Fresno State,,,,2007,Fresno State,,,,
Ken Borg,DE,Los Alamitos,CA,6'2'',235,NR,Fresno State,NR,NR,NR,2007,Fresno State,,,,
Nick Anderson,QB,El Dorado Hills,CA,6'1'',180,NR,Fresno State,,,,2007,Fresno State,,,,
Anthony Williams,DT,Humble,TX,6'1'',285,,Fresno State,,,,2008,Fresno State,,,,
Derek Carr,QB,Bakersfield,CA,6'2'',175,Fresno State,,30,,,2009,Fresno State,78.0, NR, NR,
Travis Brown,ILB,Fresno,CA,6'1'',220,Fresno State,,21,,,2009,Fresno State,77.0,,,
Lars Bramer,OT,Clovis,CA,,6'5'',77,Fresno State,46,,,2009,Fresno State,246.0,,,
Robbie Rouse,RB,San Diego,CA,5'7'',165,Fresno State,,,,,2009,Fresno State,73.0,,,
Erik Brown,CB,Scottsdale,AZ,5'9'',181,Fresno State,,,,,2009,Fresno State,68.0,104, None,
Daniel Salinas,ILB,Galena Park,TX,6'0'',205,Fresno State,,444,,,2009,Fresno State,67.0,83, None,
Nathan Harrison,,Fresno,CA,6'2'',200,Fresno State,,,,,2009,Fresno State,,,,
J.B. Dock,CB,Ventura,CA,,5'10'',,Fresno State,,,,2009,Fresno State,159.0,,,
Terrance Kindle,DE,Galena Park,TX,6'3'',215,Fresno State,,,,,2009,Fresno State,, None, None,
Ben Letcher,DE,Corona,CA,,6'2'',,Fresno State,,,,2009,Fresno State,230.0,,,
Nikko Motta,DE,Sanger,CA,6'3'',265,Fresno State,,,,,2009,Fresno State,, None, None,
Alex Jefferies,ATH,Rialto,CA,,6'0'',,Fresno State,,,,2009,Fresno State,180.0,,,
Pat Su'a,ILB,Bakersfield,CA,6'2'',220,Fresno State,,,,,2009,Fresno State,,,,
Ibe Nduka,OLB,Etiwanda,CA,5'11'',220,Fresno State,,,,,2009,Fresno State,,,,
Andy Jennings,DT,Turlock,CA,,6'3'',,Fresno State,,,,2009,Fresno State,250.0, None, None,
Toma Jeremiah,ILB,Sacramento,CA,,6'0'',,Fresno State,,,,2009,Fresno State,215.0, None, None,
Donnie Pritchett,DE,Santa Rosa,CA,,6'5'',,Fresno State,,,,2009,Fresno State,260.0,,,
