Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
David Veikune,DE,Wahiawa,HI,6'3'',250,,Hawai'i,NR,NR,NR,2006,Hawaii,,,,
Alasi Toilolo,DE,Kapolei,HI,6'4'',230,,Hawai'i,,,,2006,Hawaii,,,,
Adrian Thomas,OG,,,6'4'',280,,Hawai'i,,,,2006,Hawaii,,,,
Rick Taylor,WR,Saint Augustine,FL,5'11'',180,,Hawai'i,,,,2006,Hawaii,,,,
Quinton Tang,ILB,Honolulu,HI,5'11'',225,,Hawai'i,NR,,,2006,Hawaii,,,,
KayBrin Stevenson,CB,Chandler,AZ,6'0'',170,,Hawai'i,,,,2006,Hawaii,,,,
Spencer Smith,CB,Marietta,GA,6'0'',180,,Hawai'i,,,,2006,Hawaii,,,,
Greg Salas,S,Chino,CA,6'1'',185,,Hawai'i,,,,2006,Hawaii,,,,
Elliott Purcell,DE,Honolulu,HI,6'3'',230,,Hawai'i,NR,NR,NR,2006,Hawaii,,,,
Jacob Patek,ILB,Brenham,TX,6'0'',205,,Hawai'i,NR,,,2006,Hawaii,,,,
Myron Newberry,CB,Athens,TX,5'9'',170,,Hawai'i,,,,2006,Hawaii,,,,
Peyton Ma'o,ILB,Flagstaff,AZ,6'2'',235,,Hawai'i,NR,NR,NR,2006,Hawaii,,,,
Waylon Lolotai,OLB,Lafayette,CO,6'3'',215,,Hawai'i,,,,2006,Hawaii,,,,
Stanford Leti,QB,Honolulu,HI,6'0'',195,,Hawai'i,NR,,,2006,Hawaii,,,,
Jared Lene,OT,Altus,OK,6'4'',240,,Hawai'i,,,,2006,Hawaii,,,,
Clayton Laurel,DT,Wahiawa,HI,6'3'',255,,Hawai'i,,,,2006,Hawaii,,,,
Malcolm Lane,RB,Hanau,Germany,6'2'',185,,Hawai'i,NR,,,2006,Hawaii,,,,
Kiran Kepo'o,QB,Honolulu,HI,6'2'',230,74.0,Hawai'i,,,,2006,Hawaii,,,,
Keenan Jones,S,Compton,CA,5'11'',180,,Hawai'i,,,,2006,Hawaii,,,,
Lucious Henderson,CB,Austin,TX,5'10'',170,,Hawai'i,,,,2006,Hawaii,,,,
C.J. Hawthorne,WR,Perkinston,MS,5'11'',165,,Hawai'i,NR,NR,NR,2006,Hawaii,,,,
Brysen Ginlack,OG,Laie,HI,6'3'',275,,Hawai'i,,,,2006,Hawaii,,,,
Mitch Farney,WR,Phoenix,AZ,6'0'',185,,Hawai'i,,,,2006,Hawaii,,,,
Kenny Estes,CB,Waimea,HI,6'1'',180,,Hawai'i,,,,2006,Hawaii,,,,
Ulysses Dalton,CB,Vallejo,CA,6'1'',180,,Hawai'i,,,,2006,Hawaii,,,,
Chris Camacho,CB,Riverside,CA,5'10'',195,,Hawai'i,,,,2006,Hawaii,,,,
Po'okela Ahmad,OLB,Kapolei,HI,6'2'',210,,Hawai'i,,,,2006,Hawaii,,,,
Leon Wright-Jackson,RB,Pasco,WA,6'1'',210,Hawai'i,,,,,2007,Hawaii,NR, None, None,
Drew Uperusa,OT,Honolulu,HI,6'2'',245,Hawai'i,,153,,,2007,Hawaii,68,,,
Gabe Tuata,RB,Kailua-Kona,HI,5'7'',175,Hawai'i,,NR,,,2007,Hawaii,NR,,,
Eric Shaffer,WR,Springdale,AR,5'11'',175,Hawai'i,,,,,2007,Hawaii,60,,,
Eric Robinson,S,Corsicana,TX,5'11'',195,Hawai'i,,,,,2007,Hawaii,NR, None, None,
Korey Reynolds,DE,Birmingham,AL,6'3'',250,Hawai'i,,,,,2007,Hawaii,NR, None, None,
Kealoha Pilares,RB,Honolulu,HI,5'10'',170,Hawai'i,,,,,2007,Hawaii,NR, None, None,
Jeremiah Ostrowski,WR,Honolulu,HI,5'9'',170,Hawai'i,,68,,,2007,Hawaii,68, NR, NR,
Ryan Mouton,CB,Brenham,TX,5'10'',185,Hawai'i,,NR,,,2007,Hawaii,NR, NR, NR,
Vaughn Meatoga,DT,Honolulu,HI,6'2'',260,Hawai'i,,,,,2007,Hawaii,NR, None, None,
John Manu-Olevao,OG,Kahuku,HI,6'3'',312,Hawai'i,,NR,,,2007,Hawaii,NR,,,
Francis Maka,OLB,San Mateo,CA,6'3'',245,Hawai'i,,,,,2007,Hawaii,NR, None, None,
Mana Lolotai,ILB,Honolulu,HI,6'0'',235,Hawai'i,,NR,,,2007,Hawaii,NR,,,
Elijah Lesu,WR,Honolulu,HI,5'10'',180,Hawai'i,,NR,,,2007,Hawaii,NR, NR, NR,
Josh Leonard,DE,Antelope,CA,6'3'',275,Hawai'i,,,,,2007,Hawaii,NR,,,
Levi Legay,OT,Kailua-Kona,HI,6'3'',270,Hawai'i,,NR,,,2007,Hawaii,NR, NR, NR,
Matagisila Lefiti,OT,Santa Ana,CA,6'0'',275,Hawai'i,,,,,2007,Hawaii,NR, NR, NR,
Chris Leatigaga,OT,Los Altos,CA,6'5'',270,Hawai'i,,,,,2007,Hawaii,NR, None, None,
Kevin Konrath,ILB,Chicago,IL,6'2'',225,Hawai'i,,,,,2007,Hawaii,NR, None, None,
Kiran Kepo`o,QB,Honolulu,HI,6'2'',230,Hawai'i,,,,,2007,Hawaii,74, None, None,
George Kauwalu,OLB,Waianae,HI,6'1'',210,Hawai'i,,,,,2007,Hawaii,NR, None, None,
