Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University  ,School ,Pos_Rank,Reg_Rank,State_Rank, Pos, City, State, Height, Weight, Stars, Grade, University
Terric Williams,CB,Omaha,TX,5'10'',180,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Ladarius White,WR,Orange,TX,6'2'',185,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Isiah Thompson,DT,Tatum,TX,6'4'',315,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Antonio Staton,S,Texarkana,AR,6'1'',200,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Jordan Shoemaker,OG,Midlothian,TX,6'3'',260,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Wesley Scourten,TE,Richardson,TX,6'6'',211,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
J.T. Rudd,FB,Cuero,TX,6'2'',230,74,Houston,13,,,2006,Houston,,,,,,,,,,,,,,,,
Matt Parker,DE,Stephenville,TX,6'2'',230,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Kendall Mouton,DT,Dodge City,KS,6'3'',310,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Antonio May,DE,Ashdown,AR,6'5'',225,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Britton Maxwell,ILB,Brownwood,TX,5'11'',200,72,Houston,58,,,2006,Houston,,,,,,,,,,,,,,,,
Marquis Lowe,RB,Hitchcock,TX,5'10'',170,70,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Jonathan Lister,WR,Rosenberg,TX,6'0'',170,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Jared Lindsay,DT,Alto,TX,6'3'',290,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Josh Lee,S,Houston,TX,6'2'',185,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Andre Kohn,WR,Jacksonville,FL,5'10'',185,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Case Keenum,QB,Abilene,TX,6'2'',185,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Cameron Hackney,TE,Jacksonville,TX,6'3'',240,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Roddy Green,QB,Mart,TX,6'1'',190,62,Houston,62,,,2006,Houston,,,,,,,,,,,,,,,,
L.J. Castile,S,La Marque,TX,6'3'',205,70,Houston,88,,,2006,Houston,,,,,,,,,,,,,,,,
Tommy Bryant,RB,Dallas,TX,5'9'',195,Non-Applicable,Houston,NR,NR,NR,2006,Houston,,,,,,,,,,,,,,,,
Carson Blackmon,CB,Tatum,TX,6'1'',165,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Randall Antoine,RB,New Iberia,LA,5'10'',190,Non-Applicable,Houston,,,,2006,Houston,,,,,,,,,,,,,,,,
Raymond Alake,DE,Mansfield,TX,6'4'',230,Non-Applicable,Houston,NR,NR,NR,2006,Houston,,,,,,,,,,,,,,,,
Demetrius Woods,QB,Houston,TX,6'2'',175,Lamar Consolidated High School,,,,,2007,Houston,76, None, None,,,,,,,,,,,,,
Tremaine Williams,DT,Mobile,AL,6'3'',255,,,,,,2007,Houston,NR,,,,,,,,,,,,,,,
Chris Thompson,OG,Hitchcock,TX,6'3'',270,,,117,,,2007,Houston,65,,,,,,,,,,,,,,,
Ryan Tennison,S,Dallas,TX,5'10'',181,Justin F. Kimball High School,,,,,2007,Houston,74, None, None,,,,,,,,,,,,,
Chris Tate,RB,Hempstead,TX,5'11'',183,Hempstead High School,,104,,,2007,Houston,73,,,,,,,,,,,,,,,
E.J. Smith,WR,Camden,MD,6'0'',185,Velma Jackson Magnet High School,,NR,,,2007,Houston,NR,,,,,,,,,,,,,,,
Michael Sanchez,OG,Mission,TX,6'2'',250,Sharyland High School,,,,,2007,Houston,NR, None, None,,,,,,,,,,,,,
Dietrich Ringle,OT,Springdale,AR,6'7'',250,Har Ber High School,,,,,2007,Houston,NR,,,,,,,,,,,,,,,
Michael Ray,OC,La Marque,TX,6'3'',235,La Marque High School,,,,,2007,Houston,68, None, None,,,,,,,,,,,,,
Chad Mullen,OT,Scurry,TX,6'6'',270,Scurry Rosser High,,,,,2007,Houston,75,,,,,,,,,,,,,,,
Bo Mosley,ILB,Friendswood,TX,6'2'',220,Friendswood High School,,119,,,2007,Houston,65, NR, NR,,,,,,,,,,,,,
Loyce Means,CB,Houston,TX,5'10'',155,James Madison High School,,,,,2007,Houston,NR,,,,,,,,,,,,,,,
Ra'Shad McGill,OG,Laurel,MS,6'2'',290,Heidelberg High School,,,,,2007,Houston,73, None, None,,,,,,,,,,,,,
Bakari Maxwell,WR,Houston,TX,6'1'',170,St. Pius X High School,,33,,,2007,Houston,NR,,,,,,,,,,,,,,,
Demarcus Lattier,DT,Garland,TX,6'2'',285,South Garland High School,,,,,2007,Houston,76, None, None,,,,,,,,,,,,,
Justin Johnson,QB,Richardson,TX,6'1'',214,L. V. Berkner High School,,NR,,,2007,Houston,68, NR, NR,,,,,,,,,,,,,
B.K. Johnson,CB,Silsbee,TX,6'0'',170,Silsbee High School,,,,,2007,Houston,NR,,,,,,,,,,,,,,,
