Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School  
Mike Stark,OG,Platteville,WI,6'7'',280,,Indiana,,,,2006,Indiana,,,,
Jarrod Smith,OT,Fairborn,OH,6'4'',270,77.0,Indiana,33,,,2006,Indiana,,,,
Vernon Smith,ILB,Fort Lauderdale,FL,5'11'',230,,Indiana,, None, None,2006,Indiana,,,,
Jeff Sanders,TE,Springfield,IL,6'5'',230,73.0,Indiana,50,,,2006,Indiana,,,,
Rodger Safford,OT,Bedford,OH,6'5'',275,,Indiana,,,,2006,Indiana,,,,
Rodger Saffold,OG,Bedford,OH,6'5'',260,,Indiana,,,,2006,Indiana,,,,
Mandela Roberts,ILB,Lufkin,TX,6'0'',220,,Indiana,,,,2006,Indiana,,,,
Alex Perry,OG,Morris,IL,6'6'',245,69.0,Indiana,78,,,2006,Indiana,,,,
William Patterson,OLB,Indianapolis,IN,6'0'',200,,Indiana,,,,2006,Indiana,,,,
Greg Middleton,DE,Indianapolis,IN,6'3'',240,77.0,Indiana,32,,,2006,Indiana,,,,
Matt Mayberry,RB,Darien,IL,6'2'',205,,Indiana,,,,2006,Indiana,,,,
Brad Martin,TE,Marion,OH,6'5'',225,,Indiana,,,,2006,Indiana,,,,
Deonte Mack,DT,Elkhart,IN,6'3'',270,,Indiana,,,,2006,Indiana,,,,
Ray Fisher,WR,Cleveland,OH,5'10'',170,70.0,Indiana,132,,,2006,Indiana,,,,
Cody Faulkner,OG,Cicero,IN,6'4'',315,69.0,Indiana,78,118,,2006,Indiana,,,,
Richard Council,CB,Carrollton,TX,6'2'',170,,Indiana,,,,2006,Indiana,,,,
Ben Chappell,QB,Bloomington,IN,6'3'',210,,Indiana,,,,2006,Indiana,,,,
Keith Burrus,DT,Indianapolis,IN,6'2'',270,,Indiana,,,,2006,Indiana,,,,
Aaron Burks,CB,Phoenix,AZ,5'11'',190,,Indiana,NR,,,2006,Indiana,,,,
James Brewer,OT,Indianapolis,IN,6'7'',315,,Indiana,,,,2006,Indiana,,,,
Dennis Zeigler,OT,Indianapolis,IN,6'7'',325.0,,Indiana,,,,2007,Indiana, None, None,,
Eric Thomas,DE,Cleveland,OH,6'4'',250.0,71.0,Indiana,106,,,2007,Indiana,,,,
Teddy Schell,QB,Barrington,IL,6'5'',208.0,71.0,Indiana,130,,,2007,Indiana, NR, NR,,
Tyler Replogle,ILB,Centerville,OH,6'2'',220.0,70.0,Indiana,,,,2007,Indiana,,,,
Ian Reeves,FB,Ferndale,MI,,,,Indiana,,,,2007,Indiana,,,,
Andrew McDonald,OG,Indianapolis,IN,6'7'',280.0,,Indiana,,,,2007,Indiana, None, None,,
Fred Jones,DE,Tyrone,GA,6'4'',225.0,69.0,Indiana,,,,2007,Indiana,,,,
Donnell Jones,CB,Saint Petersburg,FL,5'10'',190.0,,Indiana,NR,,,2007,Indiana,,,,
Darius Johnson,RB,Highland Park,MI,6'0'',200.0,72.0,Indiana,123,,,2007,Indiana, NR, NR,,
Christopher Hagerup,QB,Whitefish Bay,WI,6'5'',205.0,74.0,Indiana,75,,,2007,Indiana, NR, NR,,
Josh Hager,OT,Florissant,MO,6'8'',275.0,,Indiana,,,,2007,Indiana,,,,
Mitchell Evans,QB,West Milton,OH,6'3'',195.0,71.0,Indiana,121,,,2007,Indiana, None, None,,
Matt Ernest,WR,Crown Point,IN,6'2'',170.0,68.0,Indiana,166,,,2007,Indiana,,,,
Jarrell Drane,S,Fort Lauderdale,FL,6'1'',170.0,,Indiana,,,,2007,Indiana,,,,
Max Dedmond,TE,Evansville,IN,6'5'',235.0,,Indiana,,,,2007,Indiana,,,,
Zach Davis-Walker,RB,Plantation,FL,5'8'',175.0,,Indiana,,,,2007,Indiana,,,,
