Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School
Tyler Wolfe,QB,Central,LA,6'5'',190,,Louisville,,,,2006,Louisville,,,,
Tyler Wimsatt,RB,Owensboro,KY,6'2'',217,,Louisville,NR,,,2006,Louisville,,,,
Willie Williams,DT,Thomson,GA,6'4'',325,,Louisville,,,,2006,Louisville,,,,
Deantwan Whitehead,DE,Birmingham,AL,6'5'',250,80.0,Louisville,9,51,4,2006,Louisville,,,,
L.T. Walker,DT,Wynne,AR,6'4'',308,67.0,Louisville,76,,,2006,Louisville,,,,
Conrad Thomas,OT,Douglasville,GA,6'5'',325,53.0,Louisville,104,,,2006,Louisville,,,,
Latarrius Thomas,WR,New Smyrna Beach,FL,6'2'',180,75.0,Louisville,,,,2006,Louisville,,,,
Eugene Sowell,RB,Irondale,AL,6'0'',215,76.0,Louisville,63,,,2006,Louisville,,,,
Elisee Pompilus,DE,Malden,MA,6'3'',230,,Louisville,,,,2006,Louisville,,,,
James Poe,WR,Orlando,FL,6'3'',215,71.0,Louisville,125,,,2006,Louisville,,,,
Johnny Patrick,WR,DeLand,FL,5'11'',175,,Louisville,,,,2006,Louisville,,,,
Troy Pascley,WR,Alliance,OH,6'2'',180,78.0,Louisville,36,,,2006,Louisville,,,,
Peter Nochta,TE,Lexington,KY,6'6'',220,,Louisville,,,,2006,Louisville,,,,
Orlando Misaalefua,OLB,Fort Campbell,KY,6'1'',200,77.0,Louisville,22,,,2006,Louisville,,,,
Zack Meagher,TE,Cincinnati,OH,6'5'',231,73.0,Louisville,51,84,34,2006,Louisville,,,,
Ryan Kessling,OT,Tallahassee,FL,6'5'',280,,Louisville,NR,,,2006,Louisville,,,,
Hector Hernandez,DE,Naples,FL,6'5'',255,,Louisville,,,,2006,Louisville,,,,
Aundre Henderson,DT,Louisville,KY,6'5'',280,79.0,Louisville,19,80,NR,2006,Louisville,,,,
Brandon Heath,S,West Palm Beach,FL,6'1'',175,83.0,Louisville,NR,,,2006,Louisville,,,,
Josh Hawkins,OT,Greenville,AL,6'7'',325,72.0,Louisville,,,,2006,Louisville,,,,
Frank Grimes,DT,Tallahassee,FL,6'0'',275,74.0,Louisville,49,,,2006,Louisville,,,,
Rodney Gnat,DE,Jacksonville,FL,6'4'',225,74.0,Louisville,64,259,NR,2006,Louisville,,,,
Emanuel Francis,QB,Tallahassee,FL,6'2'',180,69.0,Louisville,106,387,NR,2006,Louisville,,,,
Demetrius Culpepper,DE,Alexander City,AL,6'4'',235,,Louisville,,,,2006,Louisville,,,,
Kareem Crowell,DT,Tallahassee,FL,6'4'',285,75.0,Louisville,38,,,2006,Louisville,,,,
Josh Chichester,WR,West Chester,OH,6'7'',210,79.0,Louisville,26,,,2006,Louisville,,,,
Jeremy Baker,OG,West Palm Beach,FL,6'4'',355,71.0,Louisville,62,351,NR,2006,Louisville,,,,
Anthony Allen,RB,Tampa,FL,6'1'',210,75.0,Louisville,200,,,2006,Louisville,,,,
Jeff Adams,OT,Cadiz,KY,6'8'',316,77.0,Louisville,29,,,2006,Louisville,,,,
