Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School
Oren Wilson,DT,Teaneck,NJ,6'3'',290,74.0,Michigan State,, None, None,2007,Michigan State,,,,
Ryan Wheat,DT,Flint,MI,6'5'',308,,Michigan State,,,,2007,Michigan State,,,,
Chris Rucker,WR,Beverly Hills,MI,5'8'',165,72.0,Michigan State,123,,,2007,Michigan State,,,,
Chris Rucker,WR,Warren,OH,6'1'',185,70.0,Michigan State,55,,,2007,Michigan State,,,,
Arthur Ray Jr.,OG,Chicago,IL,6'3'',297,73.0,Michigan State,57, NR, NR,2007,Michigan State,,,,
Kevin Pickelman,ILB,Marshall,MI,6'3'',215,71.0,Michigan State,,,,2007,Michigan State,,,,
Jared McGaha,OT,Powell,TN,6'5'',277,74.0,Michigan State,17,,,2007,Michigan State,,,,
Ashton Leggett,FB,Muskegon,MI,5'11'',225,66.0,Michigan State,, None, None,2007,Michigan State,,,,
Michael Jordan,DT,Grand Rapids,MI,6'5'',295,,Michigan State,101, NR, NR,2007,Michigan State,,,,
Greg Jones,DE,Cincinnati,OH,6'2'',210,71.0,Michigan State,, None, None,2007,Michigan State,,,,
Ishmyl Johnson,DE,Rahway,NJ,6'5'',260,,Michigan State,30, None, None,2007,Michigan State,,,,
Antonio Jeremiah,DE,Hilliard,OH,6'5'',295,78.0,Michigan State,NR,,,2007,Michigan State,,,,
Joel Foreman,OG,Highland,MI,6'3'',295,,Michigan State,45, NR, NR,2007,Michigan State,,,,
Nick Foles,QB,Westlake,TX,6'5'',230,77.0,Michigan State,47, NR, NR,2007,Michigan State,,,,
David Duran,TE,Marietta,GA,6'5'',240,73.0,Michigan State,54, NR, NR,2007,Michigan State,,,,
Chase Dumphord,OT,Paris,KY,6'5'',320,76.0,Michigan State,18,,,2007,Michigan State,,,,
Mark Dell,WR,Farmington Hills,MI,6'1'',175,79.0,Michigan State,145,,,2007,Michigan State,,,,
B.J. Cunningham,WR,Westerville,OH,6'2'',200,70.0,Michigan State,, None, None,2007,Michigan State,,,,
Kirk Cousins,QB,Holland,MI,6'2'',165,70.0,Michigan State,, None, None,2007,Michigan State,,,,
Garrett Celek,TE,Cincinnati,OH,6'6'',230,,Michigan State,,,,2007,Michigan State,,,,
Aaron Bates,K,New Concord,OH,6'0'',195,,Michigan State,125, NR, NR,2007,Michigan State,,,,
Andre Anderson,RB,Barrington,IL,5'8'',185,72.0,Michigan State,,,,2007,Michigan State,,,,
Jerel Worthy,DT,Huber Heights,OH,6'2'',288,Middle Tennessee,,101, NR, NR,2008,Michigan State,69.0,,,
Anthony Woods,OG,Melvindale,MI,6'4'',310,Miami,,, None, None,2008,Michigan State,73.0,,,
Glenn Winston,ATH,Detroit,MI,6'1'',215,Navy,,76, NR, NR,2008,Michigan State,76.0,,,
Jamiihr Williams,OLB,Trotwood,OH,6'2'',224,Arizona State,,,,,2008,Michigan State,70.0,,,
Myles White,WR,Livonia,MI,6'0'',151,Arkansas State,,, None,146,2008,Michigan State,74.0,,,
Brynden Trawick,S,Marietta,GA,6'2'',213,Alabama,,42,,,2008,Michigan State,76.0,,,
Drew Stevens,OLB,Lewis Center,OH,6'4'',203,Southern Miss,,,,,2008,Michigan State,,,,
Fred Smith,WR,Detroit,MI,6'2'',207,Colorado,,34,,,2008,Michigan State,80.0,,,
Ethan Ruhland,OT,Lake Orion,MI,6'4'',262,Georgia,,, None, None,2008,Michigan State,,,,
David Rolf,WR,Piqua,OH,6'3'',210,Clemson,,,,,2008,Michigan State,61.0,,,
Trenton Robinson,CB,Bay City,MI,5'10'',171,Florida,,60, NR, NR,2008,Michigan State,75.0,,,
Caulton Ray,RB,Bloomfield Hills,MI,5'9'',185,Vanderbilt,,,,,2008,Michigan State,77.0,,,
Chris McDonald,TE,Sterling Heights,MI,6'4'',255,Purdue,,,,,2008,Michigan State,68.0,,,
Keshawn Martin,WR,Westland,MI,6'0'',180,Arizona,,, None, None,2008,Michigan State,,,,
Cameron Jude,DE,Midlothian,VA,6'4'',230,Michigan,,,,,2008,Michigan State,,,,
Zac Huerter,OT,North Branch,MI,6'6'',250,USC,,NR, NR, NR,2008,Michigan State,,,,
Tyler Hoover,DE,Novi,MI,6'7'',246,Texas,,NR,,,2008,Michigan State,74.0,,,
Steve Gardiner,ILB,Dublin,OH,6'1'',205,Indiana,,18, None, None,2008,Michigan State,78.0,,,
John Deyo,OT,Richland,MI,6'6'',270,Florida State,,, NR, NR,2008,Michigan State,,,,
Charles Burrell,ATH,Detroit,MI,6'0'',204,Georgia,,34,,,2008,Michigan State,78.0,,,
Johnny Adams,ATH,Akron,OH,5'11'',157,Alabama,,48, NR, NR,2008,Michigan State,77.0,,,
David Barrent,OT,Clive,IA,6'8'',290,Michigan State,,8, NR, NR,2009,Michigan State,80.0,,,
Edwin Baker,RB,Oak Park,MI,5'10'',205,Michigan State,,11.0,,,2009,Michigan State,81.0,,,
Larry Caper,RB,Battle Creek,MI,5'11'',205,Michigan State,,21,,,2009,Michigan State,80.0,,,
Andrew Maxwell,QB,Midland,MI,6'3'',192,Michigan State,,18,,,2009,Michigan State,80.0,,,
Dion Sims,TE,Orchard Lake,MI,6'5'',225,Michigan State,,5, NR, NR,2009,Michigan State,79.0,,,
Chris Norman,OLB,Detroit,MI,6'2'',207,Michigan State,,6.0, None, None,2009,Michigan State,79.0,,,
Donald Spencer,WR,Ypsilanti,MI,6'4'',195,Michigan State,,51, None, None,2009,Michigan State,78.0,,,
Jairus Jones,S,Tampa,FL,6'1'',205,Michigan State,,37,208,80,2009,Michigan State,78.0,,,
Micajah Reynolds,OG,Lansing,MI,6'5'',290,Michigan State,,33,,,2009,Michigan State,77.0,,,
Denicos Allen,OLB,Hamilton,OH,6'0'',205,Michigan State,,53, NR, NR,2009,Michigan State,77.0,,,
Henry Conway,OG,Shaker Heights,OH,6'6'',300,Michigan State,,39,,,2009,Michigan State,77.0,,,
Blake Treadwell,OG,East Lansing,MI,6'3'',270,Michigan State,,48, NR, NR,2009,Michigan State,77.0,,,
Bennie Fowler,WR,Detroit,MI,6'2'',185,Michigan State,,81, None, None,2009,Michigan State,77.0,,,
Jeremy Gainer,S,Livonia,MI,6'1'',215,Michigan State,,123, NR, NR,2009,Michigan State,75.0,,,
Nate Klatt,OC,Canal Fulton,OH,6'4'',286,Michigan State,,14,,,2009,Michigan State,75.0,,,
TyQuan Hammock,ILB,Fort Wayne,IN,6'1'',220,Michigan State,,45,,,2009,Michigan State,75.0,,,
Kevin Muma,K,Troy,MI,6'0'',170,Michigan State,,25,NR,NR,2009,Michigan State,75.0,,,
Patrick White,CB,Pickerington,OH,6'0'',175,Michigan State,,, None, None,2009,Michigan State,74.0,,,
Dan France,DE,North Royalton,OH,6'5'',260,Michigan State,,137, NR, NR,2009,Michigan State,73.0,,,
Dana Dixon,WR,Detroit,MI,6'3'',171,Michigan State,,,,,2009,Michigan State,73.0,,,
Denzel Drone,OLB,Plant City,FL,6'2'',225,Michigan State,,161,,,2009,Michigan State,68.0,,,
Derek Hoebing,DE,Vermilion,OH,6'5'',245,Michigan State,,208, NR, NR,2009,Michigan State,67.0,,,
Corey Freeman,DE,Cleveland,OH,6'3'',235,Michigan State,,,,,2009,Michigan State,,,,
Keith Nichol,QB,Lowell,MI,6'2'',204,Michigan State,,,,,2009,Michigan State,,,,
William Gholston,DE,Detroit,MI,6'7'',250,,Michigan State,3,,,2010,Michigan State,83.0, NR, 42nd,
Max Bullough,ILB,Traverse City,MI,6'3'',220,,Michigan State,4,,,2010,Michigan State,79.0,,,
Mike Sadler,K,Flint Hills,MI,6'1'',185,,Michigan State,5,,,2010,Michigan State,79.0,,,
Tony Lippett,WR,Detroit,MI,6'3'',179,,Michigan State,50,,,2010,Michigan State,78.0,,,
Marcus Rush,DE,Cincinnati,OH,6'2'',220,,Michigan State,55,,,2010,Michigan State,78.0, None, None,
Keith Mumphery,WR,Vienna,GA,6'0'',195,,Michigan State,55,,,2010,Michigan State,78.0,,,
Mylan Hicks,CB,Detroit,MI,5'11'',175,,Michigan State,24,,,2010,Michigan State,78.0,,,
Skyler Schofner,OT,Washington Court House,OH,6'6'',275,,Michigan State,40,,,2010,Michigan State,78.0,,,
