Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Chris Metcalf,OLB,Compton,CA,6'2'',190.0,80.0,Nevada,,15, NR, NR,2009,Nevada,,
David Fales,QB,Salinas,CA,6'2'',190.0,74.0,Nevada,,,,,2009,Nevada,,
Joseph Washington,WR,Stockton,CA,6'0'',190.0,66.0,Nevada,,, None, None,2009,Nevada,,
Stephen Jeffers,TE,Reno,NV,6'3'',260.0,65.0,Nevada,,128,,,2009,Nevada,,
Courtney Gardner,WR,Reno,NV,6'3'',190.0,,Nevada,,, None, None,2009,Nevada,,
Duke Williams,R,Reno,NV,6'1'',175.0,,Nevada,,,,,2009,Nevada,,
Stefphon Jefferson,RB,Visalia,CA,5'11'',188.0,,Nevada,,,,,2009,Nevada,,
Sam Foster,ILB,Esparto,CA,6'2'',239.0,,Nevada,,, NR, NR,2009,Nevada,,
Mason Magelby,QB,Loomis,CA,6'1'',186.0,,Nevada,,,,,2009,Nevada,,
Josh Banks,DE,Stockton,CA,6'4'',230.0,,Nevada,,, None, None,2009,Nevada,,
Jack Reynoso,DT,Loomis,CA,6'3'',270.0,,Nevada,,,,,2009,Nevada,,
Joel Bitonio,OT,Long Beach,CA,6'4'',290.0,,Nevada,,NR,,,2009,Nevada,,
Wesley Hollingshed,DT,Norcross,GA,6'2'',305.0,,Nevada,,NR,,,2009,Nevada,,
Maurice Patterson,WR,Oceanside,CA,6'3'',200.0,,Nevada,,,,,2009,Nevada,,
Cory Smith,S,Ocala,FL,6'2'',180.0,,Nevada,,, None, None,2009,Nevada,,
Ricky Drake,K,Placentia,CA,6'1'',190.0,,Nevada,,,,,2009,Nevada,,
Joseph Acuna,OT,San Jacinto,CA,6'6'',305.0,,Nevada,,NR,,,2009,Nevada,,
Aminiasi Silatolu,OT,Stockton,CA,6'4'',295.0,,Nevada,,,,,2009,Nevada,,
Andre Davis,ILB,Bellingham,WA,6'1'',225.0,,Nevada,,, None, None,2009,Nevada,,
Charles Garrett,S,Los Angeles,CA,5'11'',166.0,,76.0,Nevada,148,,,2010,Nevada,86,102
Matthew Galas,OC,Oakdale,CA,6'0'',263.0,,76.0,Nevada,13,,,2010,Nevada,,
Sebastian Tretola,OT,San Bernardino,CA,6'5'',280.0,,75.0,Nevada,91,,,2010,Nevada,,
Mike Mitchell,OT,Encino,CA,6'4'',275.0,,74.0,Nevada,121,,,2010,Nevada,252,166
Jordan Hanson,DT,Los Angeles,CA,6'2'',255.0,,70.0,Nevada,160,,,2010,Nevada,,
DeAndre Roberts,DT,Sylmar,CA,6'4'',285.0,,68.0,Nevada,199,,,2010,Nevada,421,249
Cody Fajardo,QB,Anaheim,CA,6'2'',185.0,,67.0,Nevada,168,,,2010,Nevada,,
Kyle Papendorf,OG,Clovis,CA,6'4'',260.0,,,Nevada,,,,2010,Nevada,,
Taylor George,DE,Visalia,CA,6'5'',237.0,,,Nevada,,,,2010,Nevada,,
Necho Beard,WR,Moreno Valley,CA,6'0'',182.0,,,Nevada,,,,2010,Nevada,,
Avery Poates,OG,Moreno Valley,CA,6'4'',308.0,,,Nevada,NR,,,2010,Nevada,,
Kyle Roberts,OT,Sparks,NV,6'6'',262.0,,,Nevada,,,,2010,Nevada,,
Aaron Brown,CB,Corona,CA,6'0'',185.0,,,Nevada,,,,2010,Nevada,,
Brock Hekking,DE,Vacaville,CA,6'2'',235.0,,,Nevada,,,,2010,Nevada,,
Connor Talbott,OG,Reno,NV,6'4'',245.0,,,Nevada,NR,,,2010,Nevada,NR,NR
Luke Arciniega,OLB,Sparks,NV,6'3'',210.0,,,Nevada,,,,2010,Nevada,,
Aaron Bradley,WR,Cerritos,CA,6'1'',180.0,,,Nevada,NR,,,2010,Nevada,NR,NR
Jeffrey Lark,SDallas,TX,6'2'',205,5.0,78.0,Nevada,,31,96,79,2011,Nevada,,
Burton DeKoning,OLB,Folsom,CA,6'2'',215.0,4.0,77,Nevada,80,101,68,2011,Nevada,,
Rykeem Yates,DTFresno,CA,6'2'',270,4.0,77.0,Nevada,,, None, None,2011,Nevada,,
Teondray Caldwell,ATH,Los Angeles,CA,5'10'',185.0,4.0,76,Nevada,123,,,2011,Nevada,,
Sebastian Tretola,OGLQ,San Bernardino,CA,6'3'',300.0,4.0,75,Nevada,, None, None,2011,Nevada,,
Ryan Goforth,OLBLQ,Long Beach,CA,6'1'',205.0,3.0,73,Nevada,,,,2011,Nevada,,
Desman Carter,Fontana,CA,6'0'',196,3.0,73.0,Nevada,,122,,,2011,Nevada,,
Anthony Knight,RBGroton,MA,5'11'',205,3.0,72.0,Nevada,,175,,,2011,Nevada,,
Bryan Lane,OLBSacramento,CA,6'3'',200,3.0,70.0,Nevada,,,338,210,2011,Nevada,,
Connor Talbott,OCLQ,Reno,NV,6'3'',255.0,3.0,68,Nevada,, None, None,2011,Nevada,,
Reggie Coates,OLBEncino,CA,6'0'',232,3.0,68.0,Nevada,,187,,,2011,Nevada,,
Superiorr Reid,RBRiverside,CA,6'1'',194,3.0,68.0,Nevada,,205,,,2011,Nevada,,
Kendall Brock,RBClovis,CA,5'8'',183,3.0,67.0,Nevada,,212,387,234,2011,Nevada,,
Bryson Keeton,SBakersfield,CA,6'0'',173,,,Nevada,,,,,2011,Nevada,,
Lorenzo Devers,ILBOrange,CA,6'2'',229,,,Nevada,,116, None, None,2011,Nevada,,
Zach Brickell,DEFallbrook,CA,6'4'',245,,,Nevada,,, None, None,2011,Nevada,,
Tanner Roderick,QBBozeman,MT,6'2'',185,,,Nevada,,172, NR, NR,2011,Nevada,,
Andrew Main,OCLos Alamitos,CA,6'3'',250,,,Nevada,,40, None, None,2011,Nevada,,
Lenny Jones,ILBSan Leandro,CA,6'3'',240,,,Nevada,,116, NR, NR,2011,Nevada,,
Paul Dancy,DEJCLos Angeles,CA,6'4'',260,,,Nevada,,,,,2011,Nevada,,
Jonathan McNeal,ILBJCVenice,CA,6'1'',235,,,Nevada,,,,,2011,Nevada,,
Randy Horton,TEJCSimi Valley,CA,6'5'',255,,,Nevada,,,,,2011,Nevada,,
Tyler Thompson,SJCBakersfield,CA,6'1'',200,,,Nevada,,,,,2011,Nevada,,
Jake Peppard,DEJCLa Habra,CA,6'3'',255,,,Nevada,,, None, None,2011,Nevada,,
Tyler Houk,DEJCGalax,VA,6'4'',250,,,Nevada,,NR,,,2011,Nevada,,
Eric Stewart,TEJCLos Angeles,CA,6'3'',235,,,Nevada,,NR,,,2011,Nevada,,
Devin Combs,QBJCOakdale,CA,6'2'',235,,,Nevada,,NR,,,2011,Nevada,,
Alec Moreno,ILB,Poway,CA,6'2'',225.0,79.0,Nevada,,28,75,55,2013,Nevada,,
Julian Brooks,S,Chatsworth,CA,6'2'',210.0,78.0,Nevada,,,,,2013,Nevada,,
Ian Seau,OLB,Carlsbad,CA,6'3'',240.0,77.0,Nevada,,,,,2013,Nevada,,
Tere' Calloway,ATH,Seattle,WA,5'11'',185.0,77.0,Nevada,,NR, NR, NR,2013,Nevada,,
Braxton Isaac,OT,Los Osos,CA,6'5'',285.0,74.0,Nevada,,,,,2013,Nevada,,
Don Jackson,RB,Sacramento,CA,5'10'',210.0,72.0,Nevada,,NR,,,2013,Nevada,,
Frank Schnicker,WR,Mission Viejo,CA,5'10'',156.0,,Nevada,,,,,2013,Nevada,,
Ziad Damanhoury,DT,La Jolla,CA,6'6'',288.0,,Nevada,,,,,2013,Nevada,,
Dante Mayes,QB-DT,Oakley,CA,6'1'',180.0,,Nevada,,NR, NR, NR,2013,Nevada,,
Chad Specht,OT,Fresno,CA,6'5'',260.0,,Nevada,,, None, None,2013,Nevada,,
Joseph Anglemire,OT,Mililani,HI,6'3'',261.0,,Nevada,,NR,,,2013,Nevada,,
