Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School,University  , State_rank 
Jarvis Williams,WR,Orlando,FL,6'5'',190,74.0,NC State,269,92,,2006,North Carolina State,,,,,,
John Ware,OLB,Fort Lauderdale,FL,5'10'',200,77.0,NC State,24,,,2006,North Carolina State,,,,,,
Jevon Walker,OLB,Homestead,FL,6'0'',185,69.0,NC State,55,387,NR,2006,North Carolina State,,,,,,
Owen Spencer,WR,Leland,NC,6'3'',165,78.0,NC State,35,,,2006,North Carolina State,,,,,,
Jimmaul Simmons,S, Wilmington,NC,6'3'',205,,NC State,,,,2006,North Carolina State,,,,,,
Rashad Phillips,TE,Virginia Beach,VA,6'4'',210,,NC State,,,,2006,North Carolina State,,,,,,
DeAndrae Morgan,CB,Riviera Beach,FL,5'10'',175,77.0,NC State,32,,,2006,North Carolina State,,,,,,
Everett Lewis,CB,Fort Lauderdale,FL,5'11'',175,,NC State,NR,,,2006,North Carolina State,,,,,,
Nate Irving,ILB,Teachey,NC,6'3'',220,,NC State,,,,2006,North Carolina State,,,,,,
Cedric Hickman,RB,Winston-Salem,NC,6'3'',235,,NC State,,,,2006,North Carolina State,,,,,,
Jonathan Hannah,TE,Hope Mills,NC,6'3'',251,,NC State,NR,NR,NR,2006,North Carolina State,,,,,,
Gary Gregory,OT, Apopka,FL,6'5'',295,,NC State,,,,2006,North Carolina State,,,,,,
Nathan Franklin,K,Wilmington,NC,5'11'',160,,NC State,NR,NR,NR,2006,North Carolina State,,,,,,
Carlos Everett,WR,Bushnell,FL,6'1'',181,79.0,NC State,29,,,2006,North Carolina State,,,,,,
Jordan Delegal,CB,Hollywood,FL,6'0'',180,,NC State,,,,2006,North Carolina State,,,,,,
Darrell Davis,TE,Dade City,FL,6'5'',210,74.0,NC State,43,,,2006,North Carolina State,,,,,,
Josh Czajkowski,K,Springfield,VA,5'10'',185,,NC State,,,,2006,North Carolina State,,,,,,
Justin Burke,QB,Lexington,KY,6'3'',195,78.0,NC State,21,,,2006,North Carolina State,,,,,,
Don Bowens,WR,Saint Petersburg,FL,6'3'',185,75.0,NC State,68,208,,2006,North Carolina State,,,,,,
LaMarcus Bond,WR,Ahoskie,NC,5'10'',180,78.0,NC State,32,NR,NR,2006,North Carolina State,,,,,,
Audi Augustine,DE,Oakland Park,FL,6'3'',235,75.0,NC State,49,193,NR,2006,North Carolina State,,,,,,
Earl Wolff,ATH,Raeford,NC,6'0'',190,73.0,NC State,NR,,,2008,North Carolina State, NR, NR,,,,
C.J. Wilson,ATH,Lincolnton,NC,5'11'',175,75.0,NC State,,,,2008,North Carolina State, None, None,,,,
Andrew Wallace,OT,Charlotte,NC,6'5'',258,77.0,NC State,49,,,2008,North Carolina State, NR, NR,,,,
Tobias Palmer,ATH,Pittsboro,NC,5'10'',170,79.0,NC State,28,,,2008,North Carolina State, NR, NR,,,,
Shea McKeen,DE (JC),Princeton,NJ,6'4'',260,,NC State,,,,2008,North Carolina State,,,,,,
R.J. Mattes,OT,Concord,NC,6'6'',259,79.0,NC State,21,,,2008,North Carolina State, NR, NR,,,,
Terrell Manning,OLB,Laurinburg,NC,6'3'',210,79.0,NC State,6.0,,,2008,North Carolina State, None, None,,,,
Roy Mangram,S,Brunswick,GA,6'2'',195,77.0,NC State,35,,,2008,North Carolina State,,,,,,
Dwayne Maddox,ILB,Shelby,NC,6'1'',222,77.0,NC State,36,,,2008,North Carolina State,,,,,,
Sterling Lucas,ILB,Orangeburg,SC,6'2'',220,,NC State,,,,2008,North Carolina State, None, None,,,,
