Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School
Jay Wooten,K,Laurinburg,NC,6'3'',180,73,North Carolina,19,NR,NR,2007,North Carolina,,,,
Quantavius Sturdivant,S,Oakboro,NC,6'2'',222,79,North Carolina,,,,2007,North Carolina,,,,
Jonathan Smith,OLB,Durham,NC,6'3'',195,78,North Carolina,15,,,2007,North Carolina,,,,
DaNorris Searcy,S,Decatur,GA,6'0'',203,NR,North Carolina,,,,2007,North Carolina,,,,
Devon Ramsey,ATH,Red Bank,NJ,6'2'',240,NR,North Carolina,,,,2007,North Carolina,,,,
Devon Ramsay,RB,Red Bank,NJ,6'2'',240,68,North Carolina,,,,2007,North Carolina,,,,
Tydreke Powell,DT,Ahoskie,NC,6'3'',295,81,North Carolina,6,NR,NR,2007,North Carolina,,,,
Zach Pianalto,TE,Springdale,AR,6'5'',215,78,North Carolina,19,,,2007,North Carolina,,,,
Mike Paulus,QB,Syracuse,NY,6'5'',220,79,North Carolina,15,,,2007,North Carolina,,,,
Aleric Mullins,DT,Wendell,NC,6'3'',285,82,North Carolina,,,,2007,North Carolina,,,,
Matt Merletti,RB,Cleveland,OH,5'11'',185,NR,North Carolina,NR,,,2007,North Carolina,,,,
Rashad Mason,WR,Nashville,TN,6'6'',215,NR,North Carolina,,,,2007,North Carolina,,,,
Greg Little,WR,Durham,NC,6'3'',225,84,North Carolina,5,,22,2007,North Carolina,,,,
Dwight Jones,WR,Burlington,NC,6'5'',200,81,North Carolina,12.0,,,2007,North Carolina,,,,
Ryan Houston,RB,Matthews,NC,6'3'',240,79,North Carolina,18,,,2007,North Carolina,,,,
Cameron Holland,OG,Pittsburgh,PA,6'4'',280,72,North Carolina,,,,2007,North Carolina,,,,
Brian Gupton,WR,Nashville,TN,6'4'',185,NR,North Carolina,,,,2007,North Carolina,,,,
Carl Gaskins,DT,Melbourne,FL,6'5'',280,NR,North Carolina,,,,2007,North Carolina,,,,
LaCount Fantroy,CB,Washington,DC,6'0'',170,NR,North Carolina,,,,2007,North Carolina,,,,
Linwan Euwell,DE,Pinetops,NC,6'2'',210,78,North Carolina,26,,,2007,North Carolina,,,,
Mike Dykes,OG,Pittsburgh,PA,6'4'',250,77,North Carolina,13,,,2007,North Carolina,,,,
Albert Craddock,OLB,High Point,NC,6'1'',205,75,North Carolina,35,,,2007,North Carolina,,,,
Kevin Bryant,OT,Hallandale Beach,FL,6'6'',372,82,North Carolina,3,NR,NR,2007,North Carolina,,,,
Charles Brown,CB,Maple Heights,OH,5'9'',185,73,North Carolina,NR,NR,NR,2007,North Carolina,,,,
Marvin Austin,DT,Washington,DC,6'2'',290,85,North Carolina,1,,,2007,North Carolina,,,,
Jheranie Boyd,WR,Gastonia,NC,6'2'',184,83,North Carolina,55th,,,2009,North Carolina, 7th, None,,
Donte Moss,DE,Jacksonville,NC,6'4'',225,82,North Carolina,6,,,2009,North Carolina,,,,
Donavan Tate,ATH,Cartersville,GA,6'2'',195,82,North Carolina,6,,,2009,North Carolina,,,,
Bryn Renner,QB,Lorton,VA,6'3'',190,81,North Carolina,6,,,2009,North Carolina,13, None,,
Jared McAdoo,DT,Chapel Hill,NC,6'3'',285,80,North Carolina,12,,,2009,North Carolina,,,,
Gene Robinson,S,Memphis,TN,5'10'',175,80,North Carolina,16,,,2009,North Carolina,,,,
Travis Bond,OT,Windsor,NC,6'7'',330,80,North Carolina,17,,,2009,North Carolina,39, NR,,
Terry Shankle,CB,Norwood,NC,5'10'',167,79,North Carolina,20,,,2009,North Carolina,,,,
Joshua Adams,WR,Cambridge,MA,,-,78,North Carolina,37,,,2009,North Carolina,,,,
Johnnie Farms,OG,Perry,GA,6'3'',285,78,North Carolina,26,,,2009,North Carolina,197,43,,
Kevin Reddick,ILB,New Bern,NC,6'3'',230,78,North Carolina,,,,2009,North Carolina,,,,
Josh Hunter,S,Charlotte,NC,6'2'',172,78,North Carolina,40,,,2009,North Carolina,,,,
Justin Dixon,OLB,Smithfield,NC,6'1'',228,78,North Carolina,46,,,2009,North Carolina,96, NR,,
Hawatha Bell,ILB,Matthews,NC,6'1'',225,78,North Carolina,17,,,2009,North Carolina,,,,
Brennan Williams,OT,West Roxbury,MA,6'5'',265,77,North Carolina,36,,,2009,North Carolina,103, NR,,
Curtis Campbell,S,Chesapeake,VA,6'2'',205,77,North Carolina,62,,,2009,North Carolina,117, NR,,
Ray Ray Davis,WR,Indian Trail,NC,6'1'',195,77,North Carolina,123,,,2009,North Carolina, None, None,,
