Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Fenuki Topou,OT,Rocklin,CA,6'6'',330.0,,Oregon,,,,,2006,Oregon,,
Bo Thran,OT,Gresham,OR,,,,Oregon,,NR,NR,NR,2006,Oregon,,
Pat So'oalo,OT,Kaneohe,HI,6'5'',340.0,,Oregon,,36,,,2006,Oregon,,
Justin Roper,QB,Buford,GA,6'6'',200.0,,Oregon,,,,,2006,Oregon,,
Chad Peppars,CB,Los Angeles,CA,5'10'',170.0,,Oregon,,,,,2006,Oregon,,
Spencer Paysinger,WR,Beverly Hills,CA,6'3'',190.0,,Oregon,,,,,2006,Oregon,,
Devin Mays,CB,Stockton,CA,5'11'',160.0,,Oregon,,,,,2006,Oregon,,
Dexter Manley II,DE,Fayetteville,GA,6'4'',260.0,,Oregon,,NR,NR,NR,2006,Oregon,,
Dan Kuykendall,DT,Long Beach,CA,6'5'',265.0,,Oregon,,31,,,2006,Oregon,,
Cody Kempt,QB,Beaverton,OR,6'2'',205.0,,Oregon,,, None, None,2006,Oregon,,
C.E. Kaiser,OT,Veradale,WA,6'5'',260.0,,Oregon,,,,,2006,Oregon,,
Derrick Jones,WR,Gardena,CA,6'1'',186.0,,Oregon,,,,,2006,Oregon,,
Marvin Johnson,CB,Compton,CA,5'10'',180.0,,Oregon,,,,,2006,Oregon,,
Micah Howeth,DE,Dallas,TX,6'2'',250.0,,Oregon,,,,,2006,Oregon,,
Jordan Holmes,OG,Yuba City,CA,6'4'',275.0,,Oregon,,,,,2006,Oregon,,
Matthew Harper,CB,Tracy,CA,6'0'',180.0,,Oregon,,,,,2006,Oregon,,
Jeremy Gibbs,DT,Stillwater,OK,6'3'',285.0,,Oregon,,,,,2006,Oregon,,
Jameel Dowling,S,Tacoma,WA,6'3'',190.0,,Oregon,,NR,,,2006,Oregon,,
Andre Crenshaw,RB,Lancaster,CA,6'0'',180.0,,Oregon,,NR,NR,,2006,Oregon,,
Nathan Costa,QB,Hilmar,CA,6'1'',196.0,,Oregon,,NR ,,,2006,Oregon,,
Jurray Casey,ILB,Long Beach,CA,6'2'',205.0,,Oregon,,,,,2006,Oregon,,
Brandon Blair,TE,Saint Anthony,ID,6'7'',238.0,,Oregon,,124,,,2006,Oregon,,
Remene Alston,RB,Greensboro,NC,5'8'',177.0,,Oregon,,,,,2006,Oregon,,
Carson York,OT,Coeur D'Alene,ID,6'5'',270,,74.0,Oregon,,,,2007,Oregon, None, None
Darrion Weems,OT,Woodland Hills,CA,6'7'',270,,78.0,Oregon,29,,,2007,Oregon,,
William Wallace,CB,West Covina,CA,6'0'',170,,,Oregon,NR,,,2007,Oregon,,
Myles Wade,DT,Portland,OR,6'2'',290,,78.0,Oregon,21,,,2007,Oregon,,
Terrell Turner,ILB,Los Angeles,CA,6'2'',245,,,Oregon,,,,2007,Oregon,,
William Tukuafu,DT,Salt Lake City,UT,6'5'',275,,,Oregon,NR,,,2007,Oregon,,
Terence Scott,WR,Santa Clarita,CA,6'0'',175,,,Oregon,,,,2007,Oregon, None, None
Kenny Rowe,DE,Long Beach,CA,6'4'',220,,79.0,Oregon,13,,,2007,Oregon,,
Terrance Pritchett,OLB,Sacramento,CA,6'3'',200,,77.0,Oregon,21,,,2007,Oregon,,
Edward Pleasant,RB,La Palma,CA,5'9'',205,,,Oregon,NR,,,2007,Oregon, NR, NR
Aaron Pflugrad,WR,Eugene,OR,5'10'',165,,,Oregon,NR,,,2007,Oregon,NR,NR
David Paulson,TE,Auburn,WA,6'4'',225,,68.0,Oregon,,,,2007,Oregon, None, None
Daniel Padilla,K,Corona,CA,6'1'',200,,,Oregon,NR,,,2007,Oregon,,
Charles Neal,RB,Anaheim,CA,6'1'',210,,69.0,Oregon,NR,,,2007,Oregon,,
Casey Matthews,ILB,Westlake Village,CA,6'2'',223,,78.0,Oregon,14,,,2007,Oregon, None, None
Rishard Matthews,WR,Santa Ana,CA,6'0'',185,,,Oregon,,,,2007,Oregon,,
Jeffrey Maehl,CB,Paradise,CA,6'1'',185,,,Oregon,NR,,,2007,Oregon, NR, NR
Malachi Lewis,S,Oxnard,CA,6'3'',210,,78.0,Oregon,28,,,2007,Oregon, None, None
John Laidet,TE,Bonanza,OR,6'4'',220,,,Oregon,,,,2007,Oregon, None, None
Talmadge Jackson,RB,Temecula,CA,5'9'',175,,74.0,Oregon,,,,2007,Oregon,,
Brandon Hanna,OLB,Coeur D'Alene,ID,6'3'',235,,73.0,Oregon,47,,,2007,Oregon, None, None
Dominic Glover,DE,Mission Viejo,CA,6'4'',230,,75.0,Oregon,58,,,2007,Oregon,,
Anthony Gildon,S,Westlake Village,CA,6'1'',190,,77.0,Oregon,42,,,2007,Oregon,,
Simi Fili,DT,Salt Lake City,UT,6'3'',340,,75.0,Oregon,41,,,2007,Oregon,,
Todd Doxey,WR,San Diego,CA,6'1'',175,,77.0,Oregon,,,,2007,Oregon,63, None
Drew Davis,WR,Denver,CO,6'2'',200,,78.0,Oregon,78,,,2007,Oregon, None, None
Tonio Celotto,DE,Simi Valley,CA,6'4'',250,,,Oregon,,,,2007,Oregon, None, None
Charlie Carmichael,OT,Sherman Oaks,CA,6'5'',275,,76.0,Oregon,56,,,2007,Oregon, NR, NR
Mark Asper,OT,Idaho Falls,ID,6'6'',270,,,Oregon,NR,,,2007,Oregon,,
Cliff Harris,CB,Fresno,CA,6'0'',165,,81.0,Oregon,11,,,2009,Oregon, NR, NR
Mike Bowlin,K,Aliso Viejo,CA,6'2'',180,,79.0,Oregon,5,,,2009,Oregon,,
Jackson Rice,K,Moraga,CA,6'2'',195,,79.0,Oregon,7,,,2009,Oregon, None, None
Taylor Hart,DE,Tualatin,OR,6'6'',240,,79.0,Oregon,29,,,2009,Oregon, NR, NR
Diante Jackson,WR,Walnut Creek,CA,6'1'',188,,77.0,Oregon,77,,,2009,Oregon, NR, NR
Everett Benyard,OT,San Diego,CA,6'7'',318,,77.0,Oregon,48,,,2009,Oregon,,
Braxton Lane,WR,Tyrone,GA,5'10'',186,,77.0,Oregon,308,,,2009,Oregon,79,62
Jamaal Burrell,OG,Compton,CA,6'4'',260,,76.0,Oregon,,,,2009,Oregon,,
Anthony Anderson,DE,La Mesa,CA,6'3'',224,,75.0,Oregon,,,,2009,Oregon, None, None
Karrington Armstrong,OG,Reno,NV,6'2'',300,,75.0,Oregon,116,,,2009,Oregon, NR, NR
Michael Clay,OLB,San Jose,CA,5'11'',205,,74.0,Oregon,,,,2009,Oregon,,
Avery Patterson,ATH,Pittsburg,CA,5'9'',163,,74.0,Oregon,,,,2009,Oregon, None, None
Brian Jackson,S,Hoover,AL,5'10'',190,,74.0,Oregon,146,,,2009,Oregon,511, NR
Justin Brown,DT,Compton,CA,6'1'',261,,71.0,Oregon,117,,,2009,Oregon,,
Trevor Fox,OG,Temecula,CA,6'3'',293,,68.0,Oregon,,,,2009,Oregon,,
Daryle Hawkins,QB,Omaha,NE,6'4'',190,,,Oregon,,,,2009,Oregon,,
Wade Keliikipi,DT,Waianae,HI,6'4'',280,,,Oregon,,,,2009,Oregon,,
Keaton Arden,DE,Piedmont,CA,6'4'',215,,,Oregon,,,,2009,Oregon,,
Nick Cole,WR,Concord,CA,6'3'',185,,,Oregon,,,,2009,Oregon,,
Tyrece Gaines,WR,El Dorado,KS,6'2'',210,,,Oregon,,,,2009,Oregon, None, None
Terrance Montgomery,DT,Reedley,CA,6'2'',285,,,Oregon,,,,2009,Oregon, NR, NR
Bryson Littlejohn,OLB,Elk Grove,CA,6'0'',230,,,Oregon,,,,2009,Oregon,,
Andrew Iupati,DT,Anaheim,CA,6'1'',290,,,Oregon,,,,2009,Oregon,,
Zac Clark,DE,Wichita,KS,6'3'',245,,,Oregon,,,,2009,Oregon,,
Lavasier Tuinei,WR,Arcadia,IN,6'6'',195,,,Oregon,,,,2009,Oregon,,
Lache Seastrunk,RB,Temple,TX,5'11'',190,83.0,Oregon,,40,,,2010,Oregon, None, None
Curtis White,TE,Eugene,OR,6'5'',245,81.0,Oregon,,5,,,2010,Oregon,,
Dior Mathis,CB,Detroit,MI,5'9'',165,81.0,Oregon,,105th,,,2010,Oregon, NR, NR
Ricky Heimuli,DT,Salt Lake City,UT,6'4'',294,81.0,Oregon,,13,,,2010,Oregon,,
Dontae Williams,RB,Houston,TX,5'11'',198,80.0,Oregon,,13,,,2010,Oregon, NR, NR
Keanon Lowe,ATH,Portland,OR,5'10'',170,79.0,Oregon,,36,,,2010,Oregon,45, None
James Scales,ATH,Greensboro,NC,5'10'',180,78.0,Oregon,,62,,,2010,Oregon,,
Issac Dixon,OLB,Miami,FL,5'10'',179,77.0,Oregon,,42,,,2010,Oregon, NR, NR
Nick Rowland,OG,Peoria,AZ,6'4'',290,77.0,Oregon,,29,,,2010,Oregon,,
Bryan Bennett,QB,Encino,CA,6'3'',185,77.0,Oregon,,41,,,2010,Oregon,,
Erick Dargan,S,Pittsburg,CA,6'0'',194,77.0,Oregon,,55,,,2010,Oregon,,
Derrick Malone,S,Colton,CA,6'1'',200,77.0,Oregon,,109,,,2010,Oregon,,
Terrance Mitchell,CB,Sacramento,CA,6'0'',174,76.0,Oregon,,,,,2010,Oregon,,
Troy Hill,CB,Ventura,CA,5'11'',153,76.0,Oregon,,57,,,2010,Oregon,154,106
Tony Washington,DE,Rancho Cucamonga,CA,6'4'',218,76.0,Oregon,,94,,,2010,Oregon,157,109
Josh Huff,RB,Aldine,TX,5'10'',185,76.0,Oregon,,,,,2010,Oregon,,
Hroniss Grasu,DE,Encino,CA,6'3'',245,75.0,Oregon,,108,,,2010,Oregon,183,125
Alejandro Maldonado,K,Colton,CA,5'11'',180,73.0,Oregon,,30,,,2010,Oregon,309,195
Eric Dungy,ATH,Tampa Bay,FL,6'1'',175,,Oregon,,,,,2010,Oregon,,
Drew Howell,ATH,Tehachapi,CA,6'2'',210,,Oregon,,,,,2010,Oregon, None, None
Isaac Remington,DE (JC),Chandler,AZ,6'5'',265,,Oregon,,,,,2010,Oregon, None, None
Brandon Williams,TE (JC),Merrionette,IL,6'4'',235,,Oregon,,,,,2010,Oregon,,
Ryan Clanton,OG (JC),San Francisco,CA,6'5'',305,,Oregon,,,,,2010,Oregon,,
De'Anthony Thomas,ATH,Los Angeles,CA,5'9'',160,,84.0,Oregon,2,,,2011,Oregon,4,3
Devon Blackmon,ATH,Fontana,CA,6'0'',180,,83.0,Oregon,11,,,2011,Oregon,,
Tacoi Sumler,WR,Miami,FL,5'8'',157,,81.0,Oregon,7,,,2011,Oregon,15,3
Andre Yruretagoyena,OT,Scottsdale,AZ,6'5'',260,,81.0,Oregon,,,,2011,Oregon, None, None
Anthony Wallace,ILB,Dallas,TX,6'1'',220,,80.0,Oregon,26,,,2011,Oregon,,
B.J. Kelley,WR,Fresno,CA,6'2'',172,,80.0,Oregon,17,,,2011,Oregon,33, NR
Tyson Coleman,OLB,Lake Oswego,OR,6'1'',200,,79.0,Oregon,17,,,2011,Oregon,,
Ifo Ekpre-Olomu,CB,Chino Hills,CA,5'9'',180,,79.0,Oregon,33,,,2011,Oregon,,
Christian French,ATH,Cedar Rapids,IA,6'5'',215,,79.0,Oregon,34,,,2011,Oregon,,
Colt Lyerla,ATH,Hillsboro,OR,6'4'',220,,79.0,Oregon,30,,,2011,Oregon,,
Lake Koa-Ka'ai,DE,Honolulu,HI,6'4'',240,,79.0,Oregon,51,,,2011,Oregon,86,10
Rahim Cassell,OLB,Lakewood,CA,6'1'',220,,79.0,Oregon,82,,,2011,Oregon,,
Tyler Johnstone,OT,Chandler,AZ,6'5'',245,,78.0,Oregon,73,,,2011,Oregon,,
Jacob Fisher,OT,Traverse City,MI,6'6'',260,,77.0,Oregon,130,,,2011,Oregon,,
Tra Carson,RB,Texarkana,TX,6'0'',215,,76.0,Oregon,100,,,2011,Oregon,169,15
Rodney Hardrick,OLB,Colton,CA,6'2'',205,,76.0,Oregon,112,,,2011,Oregon,172,113
Sam Kamp,DT,Mesa,AZ,6'5'',240,,75.0,Oregon,164,,,2011,Oregon,276,179
Carlyle Garrick,OLB,Castro Valley,CA,6'2'',210,,75.0,Oregon,172,,,2011,Oregon,312, NR
Jamal Prater,OT,Etiwanda,CA,6'5'',295,,73.0,Oregon,123,,,2011,Oregon,317, None
James Euscher,OT,Beaverton,OR,6'6'',275,,71.0,Oregon,,,,2011,Oregon, None, None
Marcus Mariota,QB,Honolulu,HI,6'3'',186,,71.0,Oregon,,,,2011,Oregon, None, None
Rahsaan Vaughn,WR,San Mateo,CA,6'1'',190,,,Oregon,,,,2011,Oregon,,
Jared Ebert,DT,Iowa City,IA,6'4'',285,,,Oregon,,,,2011,Oregon,,
Thomas Tyner,RB,Aloha,OR,6'0'',205,5,86,Oregon Ducks,6,7,1,2013,Oregon,,
Evan Voeller,OG,West Linn,OR,6'5'',263,5,83,Oregon Ducks,9,26,2,2013,Oregon,,
Torrodney Prevot,DE,Houston,TX,6'3'',201,5,83,Oregon Ducks,236,,,2013,Oregon,,
Tyree Robinson,WR,San Diego,CA,6'3'',190,4,82,Oregon Ducks,42,37,29,2013,Oregon,,
Cameron Hunt,OG,Corona,CA,6'4'',267,4,82,Oregon Ducks,15,39,31,2013,Oregon,,
Danny Mattingly,ATH,Spokane,WA,6'5'',218,4,82,Oregon Ducks,34,,,2013,Oregon,,
Darren Carrington,WR,San Diego,CA,6'3'',184,4,81,Oregon Ducks,55,55,44,2013,Oregon,,
Tyrell Robinson,ATH,San Diego,CA,6'3'',210,4,80,Oregon Ducks,49,59,45,2013,Oregon,,
John Mundt,TE-Y,Modesto,CA,6'5'',235,4,78,Oregon Ducks,10,89,62,2013,Oregon,,
Matt Wogan,K,Indian Trail,NC,6'2'',195,4,78,Oregon Ducks,,,,2013,Oregon,,
Chris Seisay,ATH,American Canyon,CA,6'2'',177,4,77,Oregon Ducks,91,,,2013,Oregon,,
Joe Walker,OLB,Palos Verdes,CA,6'3'',230,4,77,Oregon Ducks,11," ""NR"""," ""NR""",2013,Oregon,,
Jake Pisarcik,OG,Medford,NJ,6'3'',278,4,76,Oregon Ducks,51,,,2013,Oregon,,
Juwaan Williams,ATH,Tucker,GA,6'1'',180,4,76,Oregon Ducks,110,,,2013,Oregon,,
Damion Hobbs,QB-PP,Cedar Hill,TX,6'3'',220,4,75,Oregon Ducks,48,,,2013,Oregon,,
Devon Allen,WR,Phoenix,AZ,6'0'',187,3,74,Oregon Ducks,17,,,2013,Oregon,,
Elijah George,OT,Las Vegas,NV,6'3'',239,3,71,Oregon Ducks,,,,2013,Oregon,,
Doug Brenner,ATH,Portland,OR,6'2'',277,3,71,Oregon Ducks,165,261,11,2013,Oregon,,
Kani Benoit,RB,Phoenix,AZ,5'11'',198,NR,UNSWORN,,,,,2013,Oregon,,
Terry Wilson,QB,Del City,OK,6'3'',187,83.0,Oregon,,6,,,2016,Oregon,18,2
Tristen Wallace,ATH,DeSoto,TX,6'3'',228,82.0,Oregon,,11,,,2016,Oregon,,
Bryson Young,DE,Clovis,CA,6'4'',220,80.0,Oregon,,39,,,2016,Oregon,47,39
Darrian Franklin,OLB,Downey,CA,6'1'',209,80.0,Oregon,,23,,,2016,Oregon,,
LaMar Winston Jr.,OLB,Portland,OR,6'2'',211,79.0,Oregon,,25,,,2016,Oregon,,
Hunter Kampmoyer,DE,Bishop,CA,6'5'',241,79.0,Oregon,,52,,,2016,Oregon,,
