Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Greg Webster,ILB,Pittsburgh,PA,6'2'',225,3,71.0,Pittsburgh,64,,,2006,Pittsburgh,,
Ty Tkach,DE,Slatington,PA,6'3'',235,4,74.0,Pittsburgh,74,,,2006,Pittsburgh,,
Joe Thomas,OG,Lakewood,OH,6'5'',308,3,69.0,Pittsburgh,118,,,2006,Pittsburgh,,
Aaron Smith,CB,Monroeville,PA,5'11'',178,4,76.0,Pittsburgh,,,,2006,Pittsburgh,,
Kevan Smith,QB,Harmony,PA,6'3'',208,4,76.0,Pittsburgh,41, NR, NR,2006,Pittsburgh,,
Greg Romeus,DE,Coral Springs,FL,,230,0,,Pittsburgh,,,,2006,Pittsburgh,,
Lowell Robinson,CB,Mount Vernon,NY,6'0'',195,0,,Pittsburgh,,,,2006,Pittsburgh,,
Tamarcus Porter,S,Pahokee,FL,6'0'',170,4,79.0,Pittsburgh,24,79,NR,2006,Pittsburgh,,
Jason Pinkston,DT,Pittsburgh,PA,6'4'',260,4,80.0,Pittsburgh,13,NR,NR,2006,Pittsburgh,,
Jeff Otah,OT,Wayne,PA,,340,0,,Pittsburgh,,,,2006,Pittsburgh,,
Nate Nix,OLB,Clairton,PA,6'3'',215,3,71.0,Pittsburgh,50,,,2006,Pittsburgh,,
McKenzie Mathews,DE,Syracuse,NY,,235,0,,Pittsburgh,,,,2006,Pittsburgh,,
Jared Martin,DT,Fort Lauderdale,FL,6'1'',285,3,72.0,Pittsburgh,,335,NR,2006,Pittsburgh,,
John Malecki,DT,Murrysville,PA,6'2'',260,3,76.0,Pittsburgh,37,NR,NR,2006,Pittsburgh,,
Dan Loheyde,ILB,Monroeville,PA,6'1'',222,3,73.0,Pittsburgh,44,,,2006,Pittsburgh,,
Kevin Hughes,OG,Allendale,NJ,6'3'',280,0,,Pittsburgh,,,,2006,Pittsburgh,,
Justin Hargrove,OLB,Pittsburgh,PA,6'4'',230,2,65.0,Pittsburgh,,,,2006,Pittsburgh,,
Ricky Gary,CB,Pahokee,FL,5'8'',173,4,79.0,Pittsburgh,19,,,2006,Pittsburgh,,
Elijah Fields,WR,Duquesne,PA,6'2'',205,0,,Pittsburgh,NR,NR,NR,2006,Pittsburgh,,
Dorin Dickerson,WR,Imperial,PA,6'3'',205,4,82.0,Pittsburgh,11,,,2006,Pittsburgh,,
Dexter Davidson,QB,Coconut Creek,FL,6'4'',225,3,74.0,Pittsburgh,64,242,NR,2006,Pittsburgh,,
Scott Corson,DT,Johnstown,PA,6'4'',280,3,75.0,Pittsburgh,43,0,0,2006,Pittsburgh,,
Kevin Collier,RB,Churchville,NY,5'10'',185,4,79.0,Pittsburgh,29,NR,NR,2006,Pittsburgh,,
Jovani Chappel,CB,Trotwood,OH,5'8'',170,3,75.0,Pittsburgh,46,,,2006,Pittsburgh,,
Nathan Byham,TE,Franklin,PA,6'4'',220,4,82.0,Pittsburgh,6,,,2006,Pittsburgh,,
Dave Brytus,K,Imperial,PA,6'4'',230,0,,Pittsburgh,,,,2006,Pittsburgh,,
Aaron Berry,CB,Harrisburg,PA,5'11'',160,3,77.0,Pittsburgh,29,NR,NR,2006,Pittsburgh,,
Aundre Wright,WR,Pittsburgh,PA,5'10'',175,NR,,Pittsburgh,,,,2007,Pittsburgh, None, None
Tony Tucker,DE,Washington,DC,6'2'',225,78,,Pittsburgh,35,,,2007,Pittsburgh,,
Jabaal Sheard,DE,Hollywood,FL,6'4'',240,73,,Pittsburgh,,,,2007,Pittsburgh, None, None
Tristan Roberts,OLB,Perkasie,PA,6'0'',210,71,,Pittsburgh,,,,2007,Pittsburgh,,
Sherod Murdock,CB,Tampa,FL,6'0'',175,78,,Pittsburgh,25,,,2007,Pittsburgh, NR, NR
LeSean McCoy,RB,Harrisburg,PA,5'11'',200,84,,Pittsburgh,,,,2007,Pittsburgh, None, None
Dan Matha,OT,Erie,PA,6'7'',310,77,,Pittsburgh,41,,,2007,Pittsburgh,,
