Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Charlton Williams,WR,Coral Springs,FL,6'2'',190.0,,Purdue,,, None, None,2007,Purdue,,
Chris Summers,K,Fishers,IN,,,,,Purdue,, None, None,2007,Purdue,,
Justin Siller,QB,Detroit,MI,6'4'',190.0,,78,Purdue,23, NR, NR,2007,Purdue,,
Derrick Sherman,WR,Cincinnati,OH,6'0'',170.0,,72,Purdue,127, NR, NR,2007,Purdue,,
James Shepherd,OT,Hopkinsville,KY,6'6'',315.0,,70,Purdue,129,,,2007,Purdue,,
Preston Numa,DT,Kenner,LA,6'2'',275.0,,,Purdue,,,,2007,Purdue,,
Nick Mondek,DE,Naperville,IL,6'5'',230.0,,69,Purdue,69, NR, NR,2007,Purdue,,
Josh McKinley,S,Leander,TX,6'1'',200.0,,70,Purdue,,,,2007,Purdue,,
Colton McKey,WR,The Woodlands,TX,6'5'',215.0,,68,Purdue,,,,2007,Purdue,,
Ryan Kerrigan,DE,Muncie,IN,6'4'',235.0,,74,Purdue,,,,2007,Purdue,,
Joe Holland,CB,Indianapolis,IN,6'3'',210.0,,,Purdue,, None, None,2007,Purdue,,
Tyler Haston,OLB,Avon,IN,6'3'',205.0,,,Purdue,,,,2007,Purdue,,
Malcolm Harris,RB,East Orange,NJ,6'0'',185.0,,74,Purdue,,,,2007,Purdue,,
DeVarro Greaves,OLB,Folkston,GA,6'3'',205.0,,73,Purdue,48,,,2007,Purdue,,
Waynelle Gravesande,WR,Irvington,NJ,6'0'',165.0,,68,Purdue,,,,2007,Purdue,,
Gerald Gooden,OLB,Hooks,TX,6'3'',210.0,,,Purdue,NR,,,2007,Purdue,,
Nick Golding,DE,Evanston,IL,6'4'',215.0,,69,Purdue,133,,,2007,Purdue,,
Brian Ellis,ILB,Daytona Beach,FL,,,,,Purdue,,,,2007,Purdue,,
Danny Dierking,RB,Wheaton,IL,5'9'',185.0,,64,Purdue,64,,,2007,Purdue,,
Jared Crank,FB,Carrollton,TX,6'2'',240.0,,,Purdue,, None, None,2007,Purdue,,
Michael Chacksfield,OT,Cincinnati,OH,6'5'',260.0,,,Purdue,,,,2007,Purdue,,
Carson Wiggs,K,Grand Prairie,TX,6'1'',200,78,Purdue,,4, None, None,2008,Purdue,,
