Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School
James Williams,OT,Smyrna,TN,6'5'',300.0,69.0,Vanderbilt,69,139,,2007,Vanderbilt,,,,
Ryan Van Rensburg,FB,Jacksonville,FL,6'1'',225.0,75.0,Vanderbilt,6,,,2007,Vanderbilt,,,,
Udom Umoh,WR,Fort Valley,GA,5'10'',170.0,,Vanderbilt,,,,2007,Vanderbilt,,,,
John Stokes,OLB,Memphis,TN,6'5'',215.0,72.0,Vanderbilt,,,,2007,Vanderbilt,,,,
Larry Smith,QB,Prattville,AL,6'2'',195.0,78.0,Vanderbilt,28,,,2007,Vanderbilt,,,,
Austin Monahan,TE,Miami,FL,6'6'',232.0,,Vanderbilt,,,,2007,Vanderbilt,,,,
Chris Marve,ILB,Memphis,TN,6'0'',215.0,77.0,Vanderbilt,16,,,2007,Vanderbilt,,,,
Theron Kadri,DE,Brighton,TN,6'3'',245.0,,Vanderbilt,NR,NR,NR,2007,Vanderbilt,,,,
T. J. Greenstone,DT,Suwanee,GA,6'2'',240.0,69.0,Vanderbilt,69,97,,2007,Vanderbilt,,,,
Jamie Graham,CB,Nashville,TN,5'11'',175.0,73.0,Vanderbilt,,,,2007,Vanderbilt,,,,
Tim Fugger,TE,Lombard,IL,6'4'',220.0,,Vanderbilt,,,,2007,Vanderbilt,,,,
Kyle Fischer,OT,Columbia,SC,6'6'',287.0,75.0,Vanderbilt,,,,2007,Vanderbilt,,,,
Jermaine Doster,RB,Tampa,FL,5'9'',165.0,69.0,Vanderbilt,5,,,2007,Vanderbilt,,,,
Brandon Barden,TE,Lincolnton,GA,6'5'',225.0,71.0,Vanderbilt,64,,,2007,Vanderbilt,,,,
Rob Ashabranner,DT,Beaumont,TX,6'2'',260.0,71.0,Vanderbilt,75, NR, NR,2007,Vanderbilt,,,,
Caleb Welchans,OT,Wildwood,MO,6'5'',270.0,,Vanderbilt,,,,2008,Vanderbilt, None, None,,
Johnell Thomas,DE,Orlando,FL,6'1'',230.0,,Vanderbilt,NR,,,2008,Vanderbilt, NR, NR,,
Tristan Strong,OLB,Loganville,GA,6'2'',225.0,4.0,Vanderbilt,401,,,2008,Vanderbilt,,,,
Ryan Seymour,DE,Kingsland,GA,6'5'',260.0,4.0,Vanderbilt,70,,,2008,Vanderbilt,339, NR,,
Seandre Richardson,S,Linden,AL,6'2'',185.0,4.0,Vanderbilt,502,,,2008,Vanderbilt,91,61,,
Micah Powell,ATH,Tarpon Springs,FL,5'11'',186.0,4.0,Vanderbilt,37,,,2008,Vanderbilt,185, None,,
Al Owens,S,Springtown,TX,6'1'',181.0,4.0,Vanderbilt,,,,2008,Vanderbilt,,,,
Colt Nichter,DT,Park City,UT,6'2'',270.0,4.0,Vanderbilt,62,,,2008,Vanderbilt,,,,
Rob Lohr,DE,Phoenixville,PA,6'5'',230.0,,Vanderbilt,,,,2008,Vanderbilt, None, None,,
Taylor Loftley,DT,Chamblee,GA,6'2'',247.0,4.0,Vanderbilt,63,,,2008,Vanderbilt,370, NR,,
DeAndre Jones,OLB,Memphis,TN,6'0'',223.0,4.0,Vanderbilt,78,,,2008,Vanderbilt,168, None,,
Josh Jelesky,DE,Naperville,IL,6'6'',219.0,,Vanderbilt,,,,2008,Vanderbilt,,,,
Casey Hayward Jr.,S,Perry,GA,6'0'',180.0,,Vanderbilt,,,,2008,Vanderbilt,,,,
Ryan Fowler,K,Taylors,SC,5'11'',160.0,,Vanderbilt,NR,,,2008,Vanderbilt,,,,
Akeem Dunham,WR,Eustis,FL,6'3'',180.0,,Vanderbilt,NR,,,2008,Vanderbilt, NR, NR,,
Dexter Daniels,OLB,Brantley,AL,6'2'',215.0,,Vanderbilt,,,,2008,Vanderbilt, None, None,,
John Cole,WR,Somerset,KY,6'0'',170.0,4.0,Vanderbilt,131,,,2008,Vanderbilt,406, None,,
Richard Cagle,OG,Houston,TX,6'5'',250.0,4.0,Vanderbilt,NR,,,2008,Vanderbilt,,,,
John Burrow,DE,Morris,AL,6'4'',210.0,3.0,Vanderbilt,139,,,2008,Vanderbilt,544,65,,
Micheal Bryant,OT,LaVergne,TN,6'5'',275.0,4.0,Vanderbilt,72,,,2008,Vanderbilt,384, NR,,
Archie Barnes,ATH,Tampa,FL,6'4'',185.0,,Vanderbilt,NR,,,2008,Vanderbilt,,,,
Kenneth Ladler,S,Stone Mountain,GA,6'0'',187.0,78,Vanderbilt,43,,,2010,Vanderbilt, NR, NR,,
Carey Spear,K,Highland Heights,OH,5'10'',165.0,78,Vanderbilt,6,,,2010,Vanderbilt,,,,
Jared Morse,DT,Oxford,AL,6'2'',260.0,77,Vanderbilt,53,,,2010,Vanderbilt,,,,
Vince Taylor,DT,Hattiesburg,MS,6'1'',265.0,77,Vanderbilt,,,,2010,Vanderbilt,,,,
Andre Simmons,S,Lorton,VA,6'0'',190.0,77,Vanderbilt,,,,2010,Vanderbilt,,,,
Grant Ramsey,OT,Marietta,GA,6'5'',270.0,77,Vanderbilt,59,,,2010,Vanderbilt, None, None,,
Kyle Woestmann,DT,Marietta,GA,6'3'',250.0,77,Vanderbilt,,,,2010,Vanderbilt,,,,
James Kittredge,DT,Ramsey,NJ,6'4'',250.0,76,Vanderbilt,,,,2010,Vanderbilt, None, None,,
Jonathan Krause,WR,Snellville,GA,5'11'',164.0,76,Vanderbilt,112,,,2010,Vanderbilt,,,,
Blake Gowder,ATH,Blairsville,GA,6'1'',200.0,76,Vanderbilt,110,,,2010,Vanderbilt,,,,
Andrew Bridges,DE,Atlanta,GA,6'5'',240.0,75,Vanderbilt,,,,2010,Vanderbilt, None, None,,
Andre Hal,CB,Port Allen,LA,5'11'',170.0,75,Vanderbilt,,,,2010,Vanderbilt, None, None,,
Rajaan Bennett,RB,Powder Springs,GA,5'11'',208.0,75,Vanderbilt,111,,,2010,Vanderbilt, None, None,,
Karl Butler,CB,New Orleans,LA,6'0'',185.0,75,Vanderbilt,,,,2010,Vanderbilt,,,,
Logan Stewart,OG,Boiling Springs,SC,6'3'',270.0,75,Vanderbilt,74,,,2010,Vanderbilt,,,,
Thomas Ryan,DE,Marathon,FL,6'4'',225.0,74,Vanderbilt,127,,,2010,Vanderbilt, None, None,,
Jordan Matthews,WR,Madison,AL,6'1'',185.0,74,Vanderbilt,74.0,,,2010,Vanderbilt,,,,
Chris Boyd,WR,Roswell,GA,6'5'',187.0,74,Vanderbilt,,,,2010,Vanderbilt,,,,
Trent Pruitt,WR,Fitzgerald,GA,5'10'',175.0,72,Vanderbilt,NR,,,2010,Vanderbilt,,,,
Chase White,OT,Plano,TX,6'4'',255.0,70,Vanderbilt,156.0,,,2010,Vanderbilt,,,,
Andrew East,ATH,Indianapolis,IN,6'3'',218.0,67,Vanderbilt,,,,2010,Vanderbilt,,,,
Fitz Lassing,LB,Nashville,TN,6'2'',220.0,NR,Vanderbilt,NR,,,2010,Vanderbilt,,,,
Chase Garnham,LB,Fairhope,AL,6'2'',194.0,NR,Vanderbilt,,,,2010,Vanderbilt,,,,
Steven Clarke,CB,Fort Lauderdale,FL,5'10'',180.0,NR,Vanderbilt,,,,2010,Vanderbilt,,,,
Jordan Rodgers,QB,Chico,CA,6'2'',200.0,NR,Vanderbilt,,,,2010,Vanderbilt,,,,
Lafonte Thourogood,ATH,Virginia Beach,VA,6'3'',220.0,78.0,Vanderbilt,54,73,10,2011,Vanderbilt,,,,
Larry Franklin,S,Vero Beach,FL,6'0'',183.0,78.0,Vanderbilt,35,242,NR,2011,Vanderbilt,,,,
James Lewis,OT,Arlington,TN,6'5'',275.0,78.0,Vanderbilt,47,,,2011,Vanderbilt,,,,
Derek King,CB,Brentwood,TN,5'10'',181.0,78.0,Vanderbilt,30,,,2011,Vanderbilt,,,,
Jahmel McIntosh,S,Cleveland,MS,6'0'',193.0,77.0,Vanderbilt,50,322,NR,2011,Vanderbilt,,,,
Jake Bernstein,OT,Crystal Lake,IL,6'4'',276.0,77.0,Vanderbilt,,,,2011,Vanderbilt,,,,
Larry Mazyck,OT,Washington,DC,6'6'',315.0,77.0,Vanderbilt,,,,2011,Vanderbilt,,,,
Barron Dixon,DE,Alpharetta,GA,6'3'',250.0,77.0,Vanderbilt,105,379,83,2011,Vanderbilt,,,,
Steven Scheu,TE,Evansville,IN,6'5'',235.0,76.0,Vanderbilt,54,,,2011,Vanderbilt,,,,
Dillon van der Wal,TE,Westlake Village,CA,6'6'',230.0,76.0,Vanderbilt,57,,,2011,Vanderbilt,,,,
Jacquese Kirk,CB,Jasper,AL,5'11'',170.0,76.0,Vanderbilt,49,426,NR,2011,Vanderbilt,,,,
Jimmy Stewart,DE,Cape Coral,FL,6'3'',215.0,76.0,Vanderbilt,127,445,NR,2011,Vanderbilt,,,,
Mitchell Hester,RB,Neptune Beach,FL,5'8'',175.0,75.0,Vanderbilt,118,,,2011,Vanderbilt,,,,
Jerron Seymour,RB,Hialeah,FL,5'5'',191.0,74.0,Vanderbilt,,,,2011,Vanderbilt,,,,
Darien Bryant,TE,Pickerington,OH,6'4'',210.0,74.0,Vanderbilt,207,79,90,2011,Vanderbilt,,,,
Spencer Pulley,OT,Cordova,TN,6'4'',260.0,74.0,Vanderbilt,145,,,2011,Vanderbilt,,,,
Conor Hart,DE,Bloomfield Hills,MI,6'3'',245.0,74.0,Vanderbilt,176,215,NR,2011,Vanderbilt,,,,
Josh Grady,ATH,Seffner,FL,6'0'',170.0,74.0,Vanderbilt,161,613,,2011,Vanderbilt,,,,
Jose Valedon,OT,Oak Ridge,TN,6'4'',265.0,73.0,Vanderbilt,154,645,30,2011,Vanderbilt,,,,
Joe Townsend,DT,Hendersonville,TN,6'4'',265.0,,Vanderbilt,180, NR, NR,2011,Vanderbilt,,,,
Kris Kentera,QB,Colorado Springs,CO,6'3'',195.0,,Vanderbilt,172,,,2011,Vanderbilt,,,,
Andrew Williamson,S,San Antonio,TX,6'1'',190.0,,Vanderbilt,162,,,2011,Vanderbilt,,,,
Brian Kimbrow,ATH,Memphis,TN,5'7'',165.0,Vanderbilt,,138,,,2012,Vanderbilt,63,3,80,
Stephen Weatherly,DE,Atlanta,GA,6'4'',195.0,Vanderbilt,,24,,,2012,Vanderbilt,,,79,
Darreon Herring,OLB,Stone Mountain,GA,6'2'',200.0,Vanderbilt,,30,,,2012,Vanderbilt,,,79,
Jacob Sealand,ILB,Tucker,GA,6'1'',215.0,Vanderbilt,,14,,,2012,Vanderbilt,142,32,79,
Kevin McCoy,OT,Seffner,FL,6'5'',275.0,Vanderbilt,,51,,,2012,Vanderbilt,168,59,79,
Patton Robinette,QB,Maryville,TN,6'4'',200.0,Vanderbilt,,31,,,2012,Vanderbilt,192,9,79,
Andrew Jelks,OT,Paris,TN,6'7'',270.0,Vanderbilt,,59,,,2012,Vanderbilt,237,15,78,
Barrett Gouger,OT,Chattanooga,TN,6'4'',280.0,Vanderbilt,,61,,,2012,Vanderbilt,241,16,78,
Blake Fromang,OT,Orlando,FL,6'7'',280.0,Vanderbilt,,,,,2012,Vanderbilt, None, None,78,
Adam Butler,OG,Duncanville,TX,6'4'',280.0,Vanderbilt,,43,,,2012,Vanderbilt,,,78,
William Holden,OT,Green Cove Springs,FL,6'6'',270.0,Vanderbilt,,305,,,2012,Vanderbilt,,,78,
Jakarri Thomas,OLB,Tallahassee,FL,6'1'',200.0,Vanderbilt,,,,,2012,Vanderbilt,,,77,
Torey Agee,DE,Opelika,AL,6'3'',240.0,Vanderbilt,,,,,2012,Vanderbilt, None, None,77,
Paris Head,CB,Buford,GA,6'0'',170.0,Vanderbilt,,50,,,2012,Vanderbilt,397,87,77,
Caleb Azubike,DE,Nashville,TN,6'4'',234.0,Vanderbilt,,106,,,2012,Vanderbilt,410,21,77,
Harding Harper,OLB,Birmingham,AL,6'1'',210.0,Vanderbilt,,(None,,,2012,Vanderbilt,97, 42),76,
Cory Batey,WR,Nashville,TN,6'1'',184.0,Vanderbilt,,,,,2012,Vanderbilt, None, None,76,
Brandon Banks,ATH,Brandywine,MD,5'11'',175.0,Vanderbilt,,120,,,2012,Vanderbilt,,,75,
Torren McGaster,CB,Daphne,AL,5'11'',180.0,Vanderbilt,,,,,2012,Vanderbilt, None, None,75,
Ladarius Banks,DE,Dallas,GA,6'2'',265.0,Vanderbilt,,156,,,2012,Vanderbilt,573,,75,
Jaborian McKenzie,ATH,Natchez,MS,5'7'',167.0,Vanderbilt,,74,,,2012,Vanderbilt,,,74,
Colby Cooke,K,Goochland,VA,6'3'',185.0,Vanderbilt,,,,,2012,Vanderbilt, None, None,73,
Jordan Cunningham,WR,Fort Lauderdale,FL,6'1'',175.0,84.0,Vanderbilt,13,,,2013,Vanderbilt,51,23,4.0,
Brandon Vandenburg,TE-Y (JC),Palm Desert,CA,6'6'',260.0,83.0,Vanderbilt,1,,,2013,Vanderbilt, NR, NR,3.0,
Jay Woods,DT,Jackson,GA,6'2'',277.0,83.0,Vanderbilt,,,,2013,Vanderbilt,,,3.0,
DeAndre Woods,WR,Pinson,AL,6'3'',210.0,83.0,Vanderbilt,23,,,2013,Vanderbilt,89,9,3.0,
Zach Cunningham,OLB,Pinson,AL,6'4'',195.0,82.0,Vanderbilt,16,,,2013,Vanderbilt,,,2.0,
Carlos Burse,WR,Alpharetta,GA,6'2'',193.0,82.0,Vanderbilt,44,,,2013,Vanderbilt,,,2.0,
Chad Kanoff,QB-DT,North Hollywood,CA,6'4'',200.0,82.0,Vanderbilt,,,,2013,Vanderbilt, None, None,2.0,
Tre' Bell,CB,Jersey City,NJ,5'11'',158.0,82.0,Vanderbilt,,,,2013,Vanderbilt,157,34,2.0,
Johnathon McCrary,QB-DT,Ellenwood,GA,6'3'',190.0,82.0,Vanderbilt,5,,,2013,Vanderbilt,200,5,2.0,
Ryan White,CB,Louisville,KY,5'9'',178.0,80.0,Vanderbilt,8,,,2013,Vanderbilt,,,,
Mack Weaver,TE-Y,Memphis,TN,6'5'',235.0,80.0,Vanderbilt,41,,,2013,Vanderbilt,,,,
Landon Stokes,DE,Orlando,FL,6'3'',198.0,80.0,Vanderbilt,46,,,2013,Vanderbilt,,,,
Oren Burks,OLB,Lorton,VA,6'3'',200.0,79.0,Vanderbilt,86,,,2013,Vanderbilt,282,13,,
Latevius Rayford,WR,Memphis,TN,6'1'',175.0,78.0,Vanderbilt,41,,,2013,Vanderbilt,316,71,,
Delando Crooks,OG,Atlanta,GA,6'4'',264.0,77.0,Vanderbilt,,,,2013,Vanderbilt, None, None,,
Jalen Banks,ATH,Harvey,IL,5'11'',190.0,77.0,Vanderbilt,15,,,2013,Vanderbilt,87,19,,
Nathan Marcus,TE-H,Glen Ellyn,IL,6'4'',210.0,77.0,Vanderbilt,57,,,2013,Vanderbilt,117,82,,
Sean Dowling,OT,Fallbrook,CA,6'6'',260.0,77.0,Vanderbilt,37,,,2013,Vanderbilt,329,75,,
Nigel Bowden,ILB,Macon,GA,6'1'',230.0,77.0,Vanderbilt,14,,,2013,Vanderbilt,142,5,,
Mitchell Parsons,TE-Y,Parker,CO,6'5'',240.0,77.0,Vanderbilt,123,,,2013,Vanderbilt,,,,
Gerald Perry,WR,Memphis,TN,5'10'',152.0,76.0,Vanderbilt,64,,,2013,Vanderbilt,,,,
Jonathan Wynn,DE,Stone Mountain,GA,6'4'',215.0,76.0,Vanderbilt,394,,,2013,Vanderbilt,82,143,,
Rapheal Webb,RB,Gainesville,FL,5'10'',190.0,76.0,Vanderbilt,,,,2013,Vanderbilt, None, None,,
Darrius Sims,CB,Memphis,TN,5'10'',169.0,76.0,Vanderbilt,511,,,2013,Vanderbilt, None,123,,
