Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
J'Courtney Williams,OLB,Christchurch,VA,6'4'',215,79.0,Virginia,,, None, None,2007,Virginia,,
Aaron Taliaferro,OLB,Gloucester,VA,6'2'',215,,Virginia,,NR, NR, NR,2007,Virginia,,
Zane Parr,OT,Williamsport,PA,6'6'',295,,Virginia,,, None, None,2007,Virginia,,
Corey Mosley,RB,Richmond,VA,5'8'',195,,Virginia,,,,,2007,Virginia,,
Chase Minnifield,CB,Lexington,KY,6'0'',180,71.0,Virginia,,30, NR, NR,2007,Virginia,,
Lamar Milstead,OT,Washington,DC,6'5'',285,78.0,Virginia,,, None, None,2007,Virginia,,
Max Milien,RB,Arlington,VA,6'1'',202,,Virginia,,113,,,2007,Virginia,,
Anthony Mihota,DE,Fredericksburg,VA,6'5'',260,71.0,Virginia,,17,,,2007,Virginia,,
Peter Lalich,QB,Springfield,VA,6'5'',235,78.0,Virginia,,,,,2007,Virginia,,
Dominique Joseph,S,Philadelphia,PA,6'1'',178,70.0,Virginia,,23,,,2007,Virginia,,
Nick Jenkins,OT,Westminster,MD,6'3'',285,78.0,Virginia,,29,,,2007,Virginia,,
Dontrelle Inman,WR,Batesburg,SC,6'2'',195,79.0,Virginia,,13, None, None,2007,Virginia,,
Chris Hinkebein,K,Charlotte,NC,6'2'',170,76.0,Virginia,,,,,2007,Virginia,,
Jared Green,WR,Vienna,VA,6'2'',175,,Virginia,,,,,2007,Virginia,,
Terence Fells-Danzer,OLB,Culpeper,VA,6'1'',220,,Virginia,,14, NR, NR,2007,Virginia,,
Ras-I Dowling,WR,Chesapeake,VA,6'2'',180,,Virginia,,30,,,2007,Virginia,,
Andrew Devlin,TE,Pittsburgh,PA,6'5'',250,78.0,Virginia,,,,,2007,Virginia,,
Jared Detrick,ILB,Newport News,VA,6'2'',220,75.0,Virginia,,, None, None,2007,Virginia,,
Billy Cuffee,OT,Chesapeake,VA,6'5'',330,,Virginia,,,,,2007,Virginia,,
Matt Conrath,DT,Oak Lawn,IL,6'7'',240,70.0,Virginia,,,,,2007,Virginia,,
Kris Burd,WR,Chesterfield,VA,6'1'',180,,Virginia,,, None, None,2007,Virginia,,
Landon Bradley,OT,Conway,SC,6'7'',270,75.0,Virginia,,,,,2007,Virginia,,
Mark Ambrose,TE,Mount Carmel,PA,6'6'',225,,Virginia,,,,,2007,Virginia,,
Danny Aiken,TE,Roanoke,VA,6'5'',230,,Virginia,,,,,2007,Virginia,,
Morgan Moses,OT,Richmond,VA,6'7'',347,83.0,Virginia,,48th,4, None,2009,Virginia,,
Tim Smith,WR,Chesapeake,VA,6'0'',182,79.0,Virginia,,,,,2009,Virginia,,
Tucker Windle,TE,Charlotte,NC,6'3'',221,79.0,Virginia,,11,51, None,2009,Virginia,,
Oday Aboushi,OT,Brooklyn,NY,6'6'',300,78.0,Virginia,,27,71,3,2009,Virginia,,
Jake Snyder,DE,Glen Allen,VA,6'5'',237,78.0,Virginia,,41,77,NR,2009,Virginia,,
Justin Renfrow,DE,Philadelphia,PA,6'4'',260,78.0,Virginia,,43,79, None,2009,Virginia,,
Javanti Sparrow,S,Chesapeake,VA,6'0'',185,78.0,Virginia,,41,91, NR,2009,Virginia,,
Brent Urban,DE,Mississauga,Ont.,CAN,6'7'',250.0,77,Virginia,77, NR, NR,2009,Virginia,,
Luke Bowanko,OT,Clifton,VA,6'6'',260,77.0,Virginia,,38,108, NR,2009,Virginia,,
Corey Lillard,S,Bealeton,VA,5'11'',195,77.0,Virginia,,, None, None,2009,Virginia,,
Quintin Hunter,ATH,Orange,VA,6'2'',185,77.0,Virginia,,80,135, NR,2009,Virginia,,
Dominique Wallace,RB,Fredericksburg,VA,6'1'',231,76.0,Virginia,,146,,,2009,Virginia,,
Bobby Smith,WR,Richmond,VA,6'5'',185,76.0,Virginia,,94,154, None,2009,Virginia,,
Kevin Royal,WR,Greenwich,CT,6'4'',200,76.0,Virginia,,96,,,2009,Virginia,,
Laroy Reynolds,S,Norfolk,VA,6'1'',207,76.0,Virginia,,116,168, None,2009,Virginia,,
Paul Freedman,TE,Clearwater,FL,6'6'',224,75.0,Virginia,,54,,,2009,Virginia,,
Hunter Steward,OT,Virginia Beach,VA,6'7'',300,74.0,Virginia,,115,,,2009,Virginia,,
Perry Jones,ATH,Chesapeake,VA,5'9'',178,74.0,Virginia,,144,250, NR,2009,Virginia,,
Will Hill,DE,Williamsburg,VA,6'4'',260,73.0,Virginia,,138,269, None,2009,Virginia,,
Ross Metheny,QB,Stephens City,VA,6'3'',195,73.0,Virginia,,97,278, None,2009,Virginia,,
Sean Cascarano,OT,Glenview,IL,6'6'',270,,Virginia,,,,,2009,Virginia,,
Cody Wallace,OT,Moorestown,NJ,6'5'',265,,Virginia,,, None, None,2009,Virginia,,
LoVante' Battle,S,Hampton,VA,5'11'',190,,Virginia,,NR, NR, NR,2009,Virginia,,
Connor McCartin,OLB,Warrenton,VA,6'4'',209,,Virginia,,NR,,,2009,Virginia,,
Jeremiah Mathis,OLB,Hyattsville,MD,6'3'',240,,Virginia,,,,,2009,Virginia,,
Demetrious Nicholson,CB,Virginia Beach,VA,5'11'',170,81,,Virginia,4,11,2,2011,Virginia,,
Darius Jennings,ATH,Baltimore,MD,5'11'',175,81,,Virginia,15,,,2011,Virginia,,
Dominique Terrell,ATH,Manassas,VA,5'11'',175,80,,Virginia,122,,,2011,Virginia,,
Brandon Phelps,CB,Damascus,MD,6'0'',175,80,,Virginia,,,,2011,Virginia,,
Clifton Richardson,ATH,Newport News,VA,6'0'',195,80,,Virginia,24,19,5,2011,Virginia,,
