Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Anthony Williams,DE,Miami,FL,6'3'',210,,Miami Edison Senior High School,,,,,2006,Western Michigan,,,
Jordan White,WR,North Ridgeville,OH,6'2'',195,,North Ridgeville High School,,,,,2006,Western Michigan,,,
Brandon West,RB,Kingsland,GA,5'11'',175,,Camden County High School,,,,,2006,Western Michigan,,,
Glenis Thompson,FB,West Palm Beach,FL,5'8'',215,,Palm Beach Lakes High School,,14,301,NR,2006,Western Michigan,,,
Phillip Swanson,OT,Grand Haven,MI,6'4'',295,,Grand Haven High School,,,,,2006,Western Michigan,,,
Chris Pyant,DT,Farmington Hills,MI,6'2'',250,,Harrison High School,,67,118,NR,2006,Western Michigan,,,
Thomas Peregrin,QB,Bakersfield,CA,6'3'',185,,,,NR,NR,NR,2006,Western Michigan,,,
Stephen Penn,WR,Wayne,PA,6'1'',200,,,,,,,2006,Western Michigan,,,
Jim O'Neill,FB,,,6'4'',230,,,,NR,NR,NR,2006,Western Michigan,,,
Juan Nunez,WR,Miami,FL,6'1'',175,,Carol City High School,,,,,2006,Western Michigan,,,
Jamelle Murray,WR,Delray Beach,FL,5'10'',160,,Atlantic High School,,,,,2006,Western Michigan,,,
Jaymeson Moody,DE,Fort Lauderdale,FL,6'2'',226,,Dillard High School,,,,,2006,Western Michigan,,,
Nick Mitchell,OC,Palatine,IL,6'3'',280,,William Fremd High School,,NR,NR,NR,2006,Western Michigan,,,
Herb Martin,WR,Lakewood,CA,6'1'',185,,,,62,,,2006,Western Michigan,,,
Ben Hunderman,TE,Zeeland,MI,6'4'',241,,Zeeland High School,,,,,2006,Western Michigan,,,
Andy Dorcely,WR,North Miami Beach,FL,6'1'',190,,North Miami Beach Senior High School,,NR,,,2006,Western Michigan,,,
Bobby Crawford,RB,Fort Lauderdale,FL,5'9'',170,,Saint Thomas Aquinas High School,,,,,2006,Western Michigan,,,
David Coleman,WR,Kingsland,GA,5'11'',170,,Camden County High School,,,,,2006,Western Michigan,,,
Nick Clemens,OT,Waunakee,WI,6'6'',315,,Waunakee High School,,,,,2006,Western Michigan,,,
Drew Burdi,QB,Downers Grove,IL,6'2'',190,,Downers Grove South High School,,155,87,NR,2006,Western Michigan,,,
Mark Berghuis,ILB,Kaukauna,WI,6'2'',215,,Kaukauna High School,,,,,2006,Western Michigan,,,
Andrew Yuds,OG,Wales,WI,6'5'',250,,,,,,,2007,Western Michigan,Western Michigan, None, None
Andrew Wersel,OLB,Cincinnati,OH,6'2'',220,,,,,,,2007,Western Michigan,Western Michigan,,
Dervon Wallace,CB,Stone Mountain,GA,6'0'',180,,,,Reg_rank,,,2007,Western Michigan,Western Michigan,,
Rudy Robinson,ILB,Pahokee,FL,6'2'',215,,,,,,,2007,Western Michigan,Western Michigan,,
