Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,University  , Reg_rank, State_rank,School
Lamonta Ward,CB,Dallas,TX,5'10'',175,,Wyoming,,,,2006,Wyoming,,,,,
Billy Vinnedge,K,Santa Maria,CA,6'0'',185,,Wyoming,,,,2006,Wyoming,,,,,
Alex Toney,CB,Las Vegas,NV,6'1'',195,,Wyoming,,,,2006,Wyoming,,,,,
Darius Terry,RB,Colorado Springs,CO,5'11'',195,,Wyoming,,,,2006,Wyoming,,,,,
Jack Tennant,OG,Mahomet,IL,6'4'',280,,Wyoming,,,,2006,Wyoming,,,,,
Sam Sterner,OG,Waconia,MN,6'3'',250,,Wyoming,NR,,,2006,Wyoming,,,,,
Chris Prosinski,S,Buffalo,WY,6'2'',190,,Wyoming,NR,,,2006,Wyoming,,,,,
Chris Prosimski,CB,Buffalo,WY,6'2'',185,,Wyoming,,,,2006,Wyoming,,,,,
Derrick Levy,WR,Englewood,CO,6'0'',185,,Wyoming,,,,2006,Wyoming,,,,,
Kurt Lawson,WR,Cooper City,FL,6'2'',180,,Wyoming,6,,,2006,Wyoming,,,,,
Erik Kottom,OT,Eden Prairie,MN,6'4'',250,,Wyoming,NR,NR,NR,2006,Wyoming,,,,,
Zack Kennedy,OT,Colorado Springs,CO,6'5'',290,,Wyoming,,,,2006,Wyoming,,,,,
Ian Hetrick,QB,Napa,CA,6'3'',215,,Wyoming,,,,2006,Wyoming,,,,,
Steven Headley,QB,Grapevine,TX,6'1'',205,,Wyoming,NR,,,2006,Wyoming,,,,,
Aric Goodman,K,Englewood,CO,5'11'',165,,Wyoming,,,,2006,Wyoming,,,,,
Darryl Gober,S,Anaheim,CA,5'11'',205,,Wyoming,NR,NR,NR,2006,Wyoming,,,,,
Marcell Gipson,CB,Dallas,TX,5'10'',180,,Wyoming,,,,2006,Wyoming,,,,,
Joe Evers,WR,Sheridan,WY,6'5'',200,,Wyoming,,,,2006,Wyoming,,,,,
Darion Donnelly,WR,Glendale,CA,6'2'',190,,Wyoming,,,,2006,Wyoming,,,,,
Tyree Carter,CB,Spencer,OK,5'10'',185,,Wyoming,NR,NR,NR,2006,Wyoming,,,,,
Travis Burkhalter,QB,Eufaula,OK,6'2'',180,65.0,Wyoming,126,,,2006,Wyoming,,,,,
Nick Brousseau,OC,Chippewa Falls,WI,6'8'',275,,Wyoming,,,,2006,Wyoming,,,,,
Greg Bolling,WR,Aurora,CO,6'2'',175,,Wyoming,,,,2006,Wyoming,,,,,
Andy Bickel,OT,El Cajon,CA,6'6'',270,,Wyoming,NR,NR,NR,2006,Wyoming,,,,,
Lawrence Alexander,TE,Everman,TX,6'1'',220,,Wyoming,,,,2006,Wyoming,,,,,
Adam Pittser,QB,Richmond,IL,6'1'',187,Wyoming  ,,15,,,2011,Wyoming,79.0,,37, NR,
Daniel Sullivan,K,Mill Creek,WA,5'10'',180,Wyoming  ,,21,,,2011,Wyoming,77.0,,114, NR,
Eddie Yarbrough,ILB,Aurora,CO,6'2'',225,Wyoming  ,,48,,,2011,Wyoming,74.0,,300, None,
Mark Nzeocha,S,Neusitz,,6'2'',215,Wyoming  ,,118,,,2011,Wyoming,73.0,,,,
London Muse,WR,Sugar Land,TX,5'11'',170,Wyoming  ,,191,,,2011,Wyoming,73.0,,363,274,
Zach Ewan,ATH,Phoenix,AZ,5'10'',230,Wyoming  ,,194,,,2011,Wyoming,73.0,,281,29,
Brett Smith,QB,Salem,OR,6'1'',185,Wyoming  ,,107,,,2011,Wyoming,73.0,,,,
Zach Berg,OLB,Edmonds,WA,6'1'',202,Wyoming  ,,164,,,2011,Wyoming,72.0,,,,
Alex Borgs,OLB,Raesfeld,,6'1'',220,Wyoming  ,,72,,,2011,Wyoming,72.0,, NR, NR,
Kody Sutton,RB,Texarkana,TX,5'6'',185,Wyoming  ,,184,,,2011,Wyoming,72.0,,393,297,
Blair Burns,CB,Plano,TX,5'9'',152,Wyoming  ,,106,,,2011,Wyoming,71.0,,398,299,
Rafe Kiely,OG,Wheaton,IL,6'3'',302,Wyoming  ,,284,,,2011,Wyoming,71.0,,122, None,
Malkaam Muhammad,ATH,Saint Joseph,MO,5'10'',195,Wyoming  ,,,,,2011,Wyoming,70.0,, None, None,
Trey Norman,ATH,Texarkana,TX,Liberty-Eylau High School,6'1'',68,,236,,,2011,Wyoming,170.0,Wyoming  ,,,
Jake Jones,OT,Lakewood,CO,Green Mountain High School,6'4'',,,,,,2011,Wyoming,285.0,Wyoming  ,,,
DeAndre Jones,CB,Harker Heights,TX,5'11'',172,Wyoming  ,,128,,,2011,Wyoming,,,,,
Chad Reese,STyler,TX,Legacy High School,5'11'',175,Wyoming  ,,162,,,2011,Wyoming,,, None, None,
Dominic Rufran,WR,Colorado Springs,CO,William J. Palmer High School,5'11'',,,275,,,2011,Wyoming,176.0,Wyoming  , None, None,
Josh Doctson,WR,Mansfield,TX,Mansfield Legacy High School,6'2'',,,,,,2011,Wyoming,185.0,Wyoming  ,,,
Austin Traphagan,OT,Yuma,CO,Yuma High School,6'5'',,,,,,2011,Wyoming,280.0,Wyoming  ,,,
Kevin Robertson,WR,Houston,TX,Northland Christian School,6'3'',,,275,,,2011,Wyoming,210.0,Wyoming  ,,,
Miraldo Michel,DE,Sunrise,FL,Ellsworth Community College,6'3'',,,,,,2011,Wyoming,265.0,Wyoming  , None, None,
Korey Jones,OLB,Fort Collins,CO,Garden City Community College,6'2'',,,,,,2011,Wyoming,225.0,Wyoming  ,,,
Luke Anderson,S,Southlake,TX,Blinn College,5'10'',,,NR,,,2011,Wyoming,200.0,Wyoming  , NR, NR,
Zach Rushing,OG,Woolmarket,MS,Mississippi Gulf Coast Comm College,6'3'',,,,,,2011,Wyoming,290.0,Wyoming,,,
Trent Sewell,WR,Bothell,WA,6'2'',200,76.0,,,,,2012,Wyoming,,, None, None,Wyoming
Uso Olive,DT,Federal Way,WA,6'1'',290,76.0,,,,,2012,Wyoming,,,,,Wyoming
Sam Awrabi,DE,Clovis,CA,6'2'',235,76.0,,,,,2012,Wyoming,,,163,105,Wyoming
Shaun Wick,RB,Ventura,CA,5'11'',190,73.0,,134,,,2012,Wyoming,,,,,Wyoming
Chase Roullier,OG,Burnsville,MN,6'3'',260,72.0,,138,,,2012,Wyoming,,,307,15,Wyoming
